la-oll-a	laol-l-a
bon-tsh-a	bon-tsh-a
bo-kgoni	bo-kgoni
ba	ba
rona	ron-a
ba	ba
ho	ho
i-pop-a	i-pop-a
le	le
ka	ka
tlasa	tlas-a
ma-thata	ma-thata
maholo	maholo
le	le
ho	ho
beh-a	beh-a
di-tabatabelo	di-tabatabelo
tsa	ts-a
n-aha	nah-a
ka	ka
pele	pele
ho	ho
di-tabatabelo	di-tabatabelo
tse	tse
ding	di-ng
tsohle	tsohle
ha	ha
re	re
sebets-a	sebets-a
mmoho	moho
re	re
ka	ka
ets-a	ets-a
haholwanyane	haholwanyane
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
se-lemo-ng	se-lemong
sena	se-na
se	se
ho-dimo	ho-dimo
re	re
tla	tl-a
tshway-a	n-tshwaya
di-lemo	di-lemo
tse	tse
le-kgolo	le-kgolo
tsa	ts-a
ho	ho
theh-w-a	theh-w-a
ha	ha
n-kopano	n-kopano
ya	y-a
aforika	aforika
bo-rwa	bo-rwa
theh-il-w-e-ng	theh-il-w-e-ng
ka	ka
sa	sa
bo-hlokwa	bo-hlokwa
ke	ke
hore	hore
ho	ho
qhel-el-w-a	qhel-el-w-a
ka	ka
thoko	n-thoko
ha	ha
ba-tho	ba-tho
ba	ba
batsho	ba-tsho
n-kopano-ng	n-kopanong
ena	ena
b-il-e	bil-e
le	le
leng	le-ng
la	la
ma-baka	ma-baka
maholo	maholo
hore	hore
mo-kgatlo	mo-kgatlo
wa	w-a
theh-w-e	theh-w-e
ka	ka
ha	ha
re	re
tla	tl-a
b-e	be
re	re
tshway-a	n-tshwaya
di-lemo	di-lemo
tsena	tsena
tse	tse
le-kgolo	le-kgolo
se-lemo-ng	se-lemong
sena	se-na
re	re
lok-el-a	lok-el-a
ho	ho
thuh-is-a	thuh-is-a
le	le
ho	ho
hopol-a	hopol-a
tsela	tsel-a
eo	eo
re	re
tsama-il-e-ng	tsama-il-e-ng
jwaleka	jwalek-a
n-aha	nah-a
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
hopol-a	hopol-a
ma-ntswe	man-ts-w-e
madiba	ma-diba
ha	ha
n-e	ne
lokoll-w-a	lokol-l-w-a
ha	ha
n-e	ne
r-e	re
mme	mo-mme
ke	ke
qots-a	qots-a
ke	ke
em-e	em-e
ka	ka
pele	pele
ho	ho
lona	lona
se-ng	se-ng
jwaloka	jwalok-a
mo-porofeta	mo-porofeta
empa	emp-a
jwaloka	jwalok-a
mo-sebeletsi	mo-sebeletsi
ya	y-a
i-kokobe-d-its-e-ng	i-kokobe-d-its-e-ng
wa	w-a
lona	lona
se-tjhaba	se-tjhaba
bo-ikitlaetso	bo-ikitlaetso
ba	ba
lona	lona
bo	bo
se	se
n-a-ng	nang
ho	ho
lekan-ng-w-a	lek-an-ngw-a
ke	ke
bona	bon-a
bo	bo
e-nts-e-ng	ents-e-ng
hore	hore
ke	ke
b-e	be
mona	mona
kajeno	n-kajeno
ha	ha
ho	ho
l-e	le
jwalo	jwalo
ke	ke
beh-a	beh-a
di-lemo	di-lemo
tse	tse
s-ets-e-ng	se-tseng
tsa	ts-a
ho	ho
phel-a	phela
ha	ha
ka	ka
ma-tsoho-ng	ma-tsoohong
lona	lona
ma-ntswe	man-ts-w-e
ana	ana
re	re
kgotha-ts-a	kgotha-ts-a
hore	hore
re	re
se	se
ke	ke
ra	ra
phomol-a	phomol-a
ho	ho
fihl-el-a	fihl-el-a
re	re
fihl-el-l-a	fihl-el-l-a
di-tabatabelo	di-tabatabelo
tsa	ts-a
ho	ho
b-a	ba
se-tjhaba	se-tjhaba
se	se
lokol-oh-il-e-ng	lokoloh-il-e-ng
bo-fume-ng	bo-fumeng
le	le
bo-hloki-ng	bo-hloking
di-lemong	di-lemong
tse	tse
ma-shome	ma-shome
mabedi	mabedi
sa	sa
l-e	le
madiba	ma-diba
lokoll-w-a	lokol-l-w-a
n-aha	nah-a
ya	y-a
rona	ron-a
feto-h-il-e	fet-oh-il-e
haholo	haholo
mo-presidente	mo-presidentente
mandela	mandela
kopan-ts-e	kopan-ts-e
n-aha	nah-a
ena	ena
ka	ka
se-pheo	se-pheo
sa	sa
ho	ho
r-e	re
hlok-e	hlok-e
n-kgethollo	n-kgethollllo
ka	ka
bo-ng	bong
ka	ka
bo-tjhaba	bo-tjhaba
mme	mo-mme
b-e	be
n-aha	nah-a
ya	y-a
demokerasi	demokerasi
le	le
aforika	aforika
bo-rwa	bo-rwa
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
kajeno	n-kajeno
ha	ha
re	re
ketek-a	ketek-a
n-tokoloho	n-tokoloho
ya	y-a
madiba	ma-diba
ha	ha
re	re
i-tlam-e-ng	i-tlam-e-ng
hore	hore
re	re
tla	tl-a
ah-a	ah-a
bo-kamoso	bo-kamoso
bo	bo
betere	betere
se-bake-ng	bakeng
sa	sa
ma-afrika	ma-afrika
bo-rwa	bo-rwa
oohle	ohle
ba	ba
batsho	ba-tsho
le	le
ba	ba
basweu	bas-w-eu
ha	ha
re	re
latel-l-e-ng	latel-l-e-ng
n-toro	n-toro
ena	ena
ya	y-a
madiba	ma-diba
ya	y-a
lw-an-e-ts-e-ng	lwane-ts-e-ng
bo-phelo	bo-phelo
ba	ba
hae	hae
bohle	bo-hle
n-toro	n-toro
ya	y-a
se-tjhaba	se-tjhaba
sa	sa
demokerasi	demokerasi
se	se
lokol-oh-il-e-ng	lokoloh-il-e-ng
moo	moo
ba-tho	ba-tho
ba	ba
phel-a-ng	phel-a-ng
mmoho	moho
ka	ka
n-kutlwano	n-kutlwano
le	le
me-nyetla	me-nyetla
lek-an-a-ng	lek-an-a-ng
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
bits-its-e	bits-its-e
n-kopanelo	n-kopanelo
ena	ena
ya	y-a
palamente	palamente
bo-siu	bosiu
hore	hore
bo-ngata	bo-ngata
ba	ba
ba-tho	ba-tho
ka	ka
n-ahe-ng	nah-e-ng
ba-sebetsi	ba-sebetsi
le	le
ba-na	ban-a
ba	ba
di-kolo	di-kolo
b-e	be
n-karolo	n-karolo
ya	y-a
mo-rero	mo-rero
ona	ona
re	re
kgahl-is-its-w-e	kgahl-is-its-w-e
ke	ke
mo-rolo	mo-rolo
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tjha	batjh-a
ka	ka
mo-rero	mo-rero
ona	ona
ba-na	ban-a
ba	ba
ba	ba
tsw-a-ng	tsw-a-ng
di-provense-ng	di-provenseng
tsohle	tsohle
ba	ba
b-il-e	bil-e
teng	n-teng
di-ngangisano-ng	di-ngangisanong
tsa	ts-a
ma-ntlha	mantlh-a
tse	tse
et-el-l-a-ng	et-el-l-a-ng
pele	pele
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
se-bake-ng	bakeng
sa	sa
n-karolo	n-karolo
eo	eo
ba-tjha	batjh-a
ba	ba
ka	ka
bapal-a-ng	bapal-a-ng
n-twantsho-ng	twantshong
ya	y-a
bo-fuma	bo-fuma
re	re
thoho-lets-a	thohol-e-ts-a
mo-hlodi	mo-hlodi
wa	w-a
n-kakaretso	n-kakaretso
charlotte	charlote
le	le
fleur	fl-eur
wa	w-a
le	le
ba	ba
nk-a	nk-a
n-karolo	n-karolo
bohle	bo-hle
se-bake-ng	bakeng
sa	sa
n-tshebetso	n-tshebetso
ma-tla	matla
ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
re	re
kopan-a	kopan-a
ho	ho
ma-emo	ma-emo
thekes-el-a-ng	thekes-el-a-ng
mo-ruo	mo-ruo
wa	w-a
le-fatshe	le-fatshe
ngwahola	mo-ngwahola
re	re
b-il-e	bil-e
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
le-kgetlo	le-kgetlo
la	la
pele	pele
di-lemo-ng	di-lemong
tse	tse
ma-emo	ma-emo
ana	ana
mabe	ma-be
mo-ruo	mo-ruo
e-nts-e	entse
hore	hore
re	re
lahl-eh-el-w-e	lahl-eh-il-w-e
ke	ke
me-sebetsi	me-sebetsi
bo-holo	boholo
ba	ba
bao	bao
ba	ba
lahl-eh-e-ts-w-e-ng	lahl-eh-ts-w-e-ng
ke	ke
me-sebetsi	me-sebetsi
n-e	ne
l-e	le
bona	bon-a
ba	ba
j-er-e-ng	jer-e-ng
ma-lapa	ma-lapa
futsan-eh-il-e-ng	futs-an-eh-il-e-ng
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
ka	ka
hlakola	hlakol-a
mo-mmuso	mmmmuso
di-kgwebo	di-kgwebo
ba-emedi	ba-emedi
ba	ba
ba-sebetsi	ba-sebetsi
le	le
ba-ahi	ba-ahi
ba	ba
il-e	il-e
ba	ba
dumel-l-an-a	dumel-l-an-a
ka	ka
se-hlopha	se-hlopha
sa	sa
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
se-kgahla	se-kgahla
sa	sa
ma-emo	ma-emo
ana	ana
mabe	ma-be
mo-ruo	mo-ruo
re	re
ken-ts-e	ken-ts-e
bo-ngata	bo-ngata
ba	ba
me-kgwa	me-kgwa
ena	ena
n-tshebetso-ng	n-tshebetsong
re	re
ken-tsh-e	ken-tsh-e
n-tshebetso-ng	n-tshebetsong
me-kgwa	me-kgwa
ma-tla	matla
n-kgahlano-ng	n-kgahlanong
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
jwaloka	jwalok-a
mo-mmuso	mmmmuso
ka	ka
ho	ho
kgin-a	kgina
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	bakeng
sa	sa
ho	ho
bebo-fa-ts-a	bebo-fa-ts-a
ma-thata	ma-thata
ba	ba
futsan-eh-il-e-ng	futs-an-eh-il-e-ng
re	re
potlak-is-its-e	potlak-is-its-e
ho	ho
nyoll-w-a	nyol-w-a
ha	ha
di-tjhelete	di-tjhelete
tsa	ts-a
le-tlole	le-tlole
la	la
thuso	n-thuso
la	la
tshehetso	n-tshehetso
ya	y-a
ba-na	ban-a
mme	mo-mme
ra	ra
ekets-a	ekets-a
di-lemo	di-lemo
tsa	ts-a
ba-na	ban-a
ba	ba
lok-el-a-ng	lok-el-a-ng
ho	ho
fuman-a	fuman-a
tshehetso	n-tshehetso
ya	y-a
tjhelete	tjhelete
ya	y-a
thuso	n-thuso
ka	ka
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
ba-na	ban-a
ba	ba
di-lemo	di-lemo
tse	tse
ka	ka
ho-dimo	ho-dimo
ho	ho
tse	tse
di-lemong	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tl-a-ng
ba-na	ban-a
ba	ba
tlatsetso	tlatsetso
ba	ba
di-milione	di-milione
tse	tse
pedi	pedi
ba	ba
tsw-a-ng	tsw-a-ng
ma-lape-ng	ma-lapeng
le	le
ma-tlo-ng	ma-tlong
futsan-eh-il-e-ng	futs-an-eh-il-e-ng
ba	ba
di-lemo	di-lemo
tse	tse
ho	ho
y-a	y-a
ho	ho
ba	ba
tla	tl-a
un-a	un-a
mo-lemo	mo-lemo
le-tlole-ng	le-tloleng
la	la
thuso	n-thuso
ya	y-a
tshehetso	n-tshehetso
ya	y-a
ba-na	ban-a
koporasi	koporasi
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
di-indaseteri	di-indaseteri
beh-el-ets-e	beh-el-e-ts-e
ka	ka
thoko	n-thoko
di-bilione	di-bilione
tse	tse
tshel-e-ts-e-ng	tshelets-e-ng
tsa	ts-a
di-ranta	di-ranta
ho	ho
thus-a	thus-a
di-khamphani	di-khamphani
tse	tse
tlokotsi-ng	tlokotsing
mo-mmuso	mmmmuso
tl-il-e	tl-il-e
ka	ka
le-ano	le-ano
le	le
bits-w-a-ng	bits-w-a-ng
se-kema	se-kema
sa	sa
n-thupello	n-thupello
se-bake-ng	bakeng
sa	sa
ho	ho
f-a	f-a
ba-sebetsi	ba-sebetsi
n-ako	n-ako
ya	y-a
n-kwetliso	n-kwetliso
ho	ho
le	le
hore	hore
ba	ba
foko-ts-w-e	fokots-w-e
mo-sebetsi-ng	mo-sebetsing
me-kutu	me-kutu
ena	ena
il-e	il-e
ya	y-a
phaham-is-w-a	phaham-is-w-a
ke	ke
le-naneo	le-naneoo
la	la
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
la	la
rona	ron-a
se-tjhaba	se-tjhaba
se	se
tla	tl-a
hopol-a	hopol-a
hore	hore
n-puo-ng	n-puong
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ka	ka
ke	ke
il-e	il-e
ka	ka
tseb-is-a	tseb-is-a
hore	hore
le-naneo	le-naneoo
le	le
eke-dits-w-e-ng	eke-dits-w-e-ng
la	la
me-sebetsi	me-sebetsi
le	le
tla	tl-a
hlah-is-a	hlah-is-a
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
ka	ka
tshitwe	tshit-w-e
ena	ena
ke	ke
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ho	ho
f-an-a	f-an-a
ka	ka
me-nyetla	me-nyetla
ya	y-a
mo-sebetsi	mo-sebetsi
ho	ho
ba-tho	ba-tho
ba	ba
sa	sa
sebets-e-ng	sebets-e-ng
hore	hore
ba	ba
b-e	be
le	le
le-keno	le-keno
la	la
tjhelete	tjhelete
le	le
hore	hore
ba	ba
thol-e	thole
bo-iphihlelo	bo-iphihlelo
le	le
me-nyetla	me-nyetla
ya	y-a
n-thupello	n-thupello
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
re	re
thab-el-a	thab-el-a
ho	ho
tseb-is-a	tseb-is-a
hore	hore
ma-felo-ng	ma-felong
tshitwe	tshit-w-e
re	re
hlah-is-its-e	hlah-is-its-e
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
seo	se-o
l-e-ng	le-ng
ya	y-a
seo	se-o
re	re
n-e-ng	neng
re	re
se	se
rer-il-e	rer-il-e
me-sebetsi	me-sebetsi
ena	ena
di-karolo-ng	di-karolong
tse	tse
k-a-ng	kang
tsa	ts-a
ho	ho
ah-a	ah-a
n-tlhokomelo-ng	n-tlhokomelong
tsa	ts-a
ma-lapa	ma-lapa
le	le
tsa	ts-a
ba-ahi	ba-ahi
le	le
di-porojeke-ng	di-porojeng
tsa	ts-a
n-tikoloho	n-tikoloho
re	re
hlwa-il-e	hlwa-il-e
di-baka	di-baka
tse	tse
its-e-ng	i-ts-e-ng
tsa	ts-a
ntlafatso	n-ntlafatso
tseo	tseo
re	re
tla	tl-a
sebets-an-a-ng	sebets-an-a-ng
le	le
tsona	tson-a
ho	ho
y-a	y-a
pele	pele
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
di-porojeke	di-porojeke
tse	tse
batl-a-ng	batl-a-ng
ba-sebetsi	ba-sebetsi
ba	ba
bangata	ba-ngata
re	re
y-a	y-a
tseb-a	tseb-a
hore	hore
tsena	tsena
le	le
me-kutu	me-kutu
meng	meng
di	di
ke	ke
ke	ke
tsa	ts-a
lw-an-tsh-an-a	lwantshanta
le	le
se-futho	se-futho
sa	sa
ikonomi	i-konomi
putlam-e-ng	putlam-e-ng
re	re
leboh-el-a	leboh-el-a
mo-ya	moy-a
motle	motle
wa	w-a
le-lapa	le-lapa
bo-ahi	bo-ahi
le	le
mo-sebetsi	mo-sebetsi
wa	w-a
bo-ithaopi	bo-ithaopi
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tho	ba-tho
ba	ba
bangata	ba-ngata
se-bake-ng	bakeng
sa	sa
ho	ho
thus-a	thus-a
bao	bao
ba	ba
ke	ke
tlokotsi	tlokotsi
ena	ena
hara	hara
di-nako	di-nako
tsena	tsena
tse	tse
bo-ima	bo-ima
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-tshwao	ma-tshwao
ikonomi	i-konomi
bon-tsh-a	bon-tsh-a
hore	hore
re	re
batl-a	batl-a
re	re
bon-a	bon-a
ntlafalo	n-ntlafalo
ya	y-a
ma-emo	ma-emo
ma-emo	ma-emo
ikonomi	i-konomi
ntla-fal-a	ntla-fal-a
aforika	aforika
bo-rwa	bo-rwa
mme	mo-mme
re	re
lebel-e-ts-e	lebel-e-ts-e
n-kgolo	n-kgolo
ya	y-a
mo-ruo	mo-ruo
ho	ho
y-a	y-a
pele	pele
di-palopalo	di-palopalo
tsa	ts-a
ba-sebetsi	ba-sebetsi
tse	tse
lokoll-ots-w-e-ng	lokolots-w-e-ng
ka	ka
la-bobedi	labobedi
di	di
bon-tsh-a	bon-tsh-a
hore	hore
ha	ha
jwale	jwale
ikonomi	i-konomi
hlah-is-a	hlah-is-a
me-sebetsi	me-sebetsi
ho	ho
fapan-a	fapan-a
le	le
ho	ho
fokots-a	fokots-a
le	le
ha	ha
ho	ho
l-e	le
jwalo	jwalo
sa	sa
l-e	le
kapele	kap-el-e
haholo	haholo
hore	hore
re	re
ka	ka
nete-fa-ts-a	nete-fa-ts-a
se-kgahla	se-kgahla
seo	se-o
ikonomi	i-konomi
nyoloh-a-ng	nyoloh-a-ng
ka	ka
sona	sona
mo-mmuso	mmmmuso
le	le
ha	ha
ho	ho
l-e	le
jwalo	jwalo
ke	ke
ke	ke
wa	w-a
hul-a	hul-a
me-kutu	me-kutu
ya	y-a
ona	ona
ya	y-a
tshehetso	n-tshehetso
jwale	jwale
ke	ke
n-ako	n-ako
ya	y-a
ho	ho
ets-a	ets-a
mo-theo	mo-theo
se-bake-ng	bakeng
sa	sa
n-kgolo	n-kgolo
ma-tla	matla
ho	ho
y-a	y-a
pele	pele
le	le
n-kgolo	n-kgolo
tla	tl-a
tswal-a	tswal-a
me-sebetsi	me-sebetsi
mengata	me-ngata
le-naneo	le-naneoo
la	la
rona	ron-a
la	la
n-ako	n-ako
telele	telel-e
la	la
mo-theo	mo-theo
wa	w-a
se-tjhaba	se-tjhaba
le	le
tla	tl-a
re	re
thus-a	thus-a
ho	ho
hol-a	hol-a
ka	ka
potlako	n-potlako
n-thuto	n-thuto
ya	y-a
rona	ron-a
le	le
ma-naneo	ma-naneooooooo
bo-kgoni	bo-kgoni
di	di
tla	tl-a
phaham-is-a	phaham-is-a
n-tlhahiso	n-tlhahiso
le	le
n-hlodisano	hlodisano
le-ano	le-ano
la	la
rona	ron-a
la	la
n-tshebetso	n-tshebetso
ya	y-a
indaseteri	indaseteri
le	le
ho	ho
tsepam-is-a	tsepam-is-a
ma-ikutlo	ma-ikutlo
ho	ho
me-sebetsi	me-sebetsi
bolok-eh-il-e-ng	bolok-eh-il-e-ng
ya	y-a
n-temo	n-temo
se-bake-ng	bakeng
sa	sa
n-tikoloho	n-tikoloho
di	di
tla	tl-a
ah-a	ah-a
di-ndaseteri	di-ndaseteri
tse	tse
ngata	ngata
le	le
tse	tse
ma-tla	matla
se-bake-ng	bakeng
sa	sa
ho	ho
hohel-a	hohel-a
ba-sebetsi	ba-sebetsi
le-naneo	le-naneoo
la	la
rona	ron-a
la	la
n-tshetsopele	ntshetsopele
ya	y-a
di-baka	di-baka
tsa	ts-a
ma-hae	ma-hae
le	le
tla	tl-a
ntla-fa-ts-a	ntla-fa-ts-a
n-tlhahiso	n-tlhahiso
ya	y-a
ma-hae-ng	ma-haeng
le	le
ma-phelo	ma-phelo
ba-ahi	ba-ahi
ba	ba
me-tse-ng	me-tseng
ya	y-a
ma-hae	ma-hae
seo	se-o
l-e-ng	le-ng
sa	sa
bo-hlokwa	bo-hlokwa
ma-wale-ng	ma-waleng
rona	ron-a
ho	ho
hod-is-a	hod-is-a
le	le
ho	ho
tso-s-el-ets-a	tso-s-el-ets-a
mo-ruo	mo-ruo
ke	ke
le-naneo	le-naneoo
la	la
rona	ron-a
la	la
ho	ho
tset-el-a	tset-el-a
me-aho-ng	me-ahong
di-lemong	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tl-a-ng
mo-mmuso	mmmmuso
tla	tl-a
sebed-is-a	sebed-is-a
di-bilione	di-bilione
tse	tse
ho-dima	hodim-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	bakeng
sa	sa
di-palangwa-ng	di-palangwang
re	re
tla	tl-a
bolok-a	bolok-a
me-bila	me-bila
ya	y-a
rona	ron-a
ma-emo-ng	ma-emong
matle	matle
le	le
ho	ho
at-olo-s-a	at-olo-s-a
ma-rangrang	marangrang
di-tsela	di-tsela
tsa	ts-a
rona	ron-a
re	re
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ma-rangrang	marangrang
rona	ron-a
se-poro	se-poro
sa	sa
terene	n-terene
ke	ke
tshep-ahal-a-ng	tshep-ahal-a-ng
ma-emo-ng	ma-emong
n-hlodisano	hlodisano
mme	mo-mme
hok-ah-an-ts-w-e	hok-aha-n-ts-w-e
betere	betere
le	le
ma-emakepe	ma-emakepe
rona	ron-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
n-phano	n-phano
tshep-ahal-a-ng	tshep-ahal-a-ng
ya	y-a
mo-tlakase	mo-tlakase
re	re
the-il-e	the-il-e
komite	komite
ya	y-a
kahare	kahare
ya	y-a
ma-tona	ma-tona
sheb-an-e-ng	sheb-an-e-ng
le	le
ma-tla	matla
mo-tlakase	mo-tlakase
ho	ho
hlab-oll-a	hlaboll-a
le-ano	le-ano
la	la
di-lemo	di-lemo
tse	tse
la	la
me-hlodi	me-hlodi
kopan-e-ts-w-e-ng	kopan-e-ts-w-e-ng
hara	hara
tse	tse
ding	di-ng
sena	se-na
se	se
tla	tl-a
sheb-an-a	sheb-an-a
ho	ho
nk-a	nk-a
n-karolo	n-karolo
ha	ha
ba-hlahisi	ba-hlahisi
ba	ba
ik-em-e-ts-e-ng	ik-em-ets-e-ng
ba	ba
ma-tla	matla
mo-tlakase	mo-tlakase
le	le
ho	ho
tshir-el-ets-a	tshir-el-ets-a
ba-futsana	ba-futsana
n-kgahlano-ng	n-kgahlanong
le	le
di-tjeo	di-tjeo
tse	tse
phaham-e-ng	phaham-e-ng
tsa	ts-a
mo-tlakase	mo-tlakase
re	re
tla	tl-a
theh-a	theh-a
mo-hlahisi	mo-hlahisi
ya	y-a
ik-em-e-ts-e-ng	ik-em-ets-e-ng
ya	y-a
se	se
n-a-ng	nang
n-kopano	n-kopano
le	le
eskom	eskom
eskom	eskom
tla	tl-a
tsw-el-a- pele	tsw-el-a- pele
ho	ho
ah-a	ah-a
n-keketseho	n-keketseho
ya	y-a
ho	ho
fehl-a	fehl-a
mo-tlakase	mo-tlakase
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-paballo	n-paballo
ya	y-a
di-teishene	di-teishene
tsa	ts-a
mo-tlakase	mo-tlakase
se-bake-ng	bakeng
sa	sa
ho	ho
ntsh-ets-a-pele	ntshets-a- pele
ikonomi	i-konomi
ke-ny-el-ets-a-ng	ke-ny-el-ets-a-ng
ho	ho
thus-a	thus-a
n-kgolo	n-kgolo
le	le
n-tshetsopele	ntshetsopele
re	re
theh-il-e	theh-il-e
le-kgotla	le-kgotla
la	la
ho	ho
matla-fa-ts-a	matla-fa-ts-a
ba-tho	ba-tho
ba	ba
batsho	ba-tsho
ikonomi-ng	i-konoming
ka	ka
ho	ho
phatlall-a	phatlalla-l-a
leo	leo
mo-dulasetulo	mo-dulasetulo
wa	w-a
lona	lona
l-e-ng	le-ng
mo-presidente	mo-presidentente
se	se
potlak-il-e-ng	potlak-il-e-ng
haholo	haholo
ke	ke
hore	hore
ho	ho
tsepam-is-w-e	tsepam-is-w-e
ma-ikutlo	ma-ikutlo
ho	ho
fetol-e-ng	fetol-e-ng
le-ano	le-ano
ka	ka
ho	ho
ken-a	kena
ka	ka
se-totswana	se-totswana
ho	ho
hlah-is-e-ng	hlah-is-e-ng
me-sebetsi	me-sebetsi
se-bake-ng	bakeng
sa	sa
ba-tjha	batjh-a
se-kgahla	se-kgahla
sa	sa
ho	ho
hlok-a	hlok-a
mo-sebetsi	mo-sebetsi
ba-tjhe-ng	batjh-e-ng
ba	ba
rona	ron-a
se	se
ho-dimo	ho-dimo
haholo	haholo
ho	ho
n-palohare	palohare
di-tshisinyo	di-tshisinyo
di	di
tla	tl-a
beh-w-a	beh-w-a
tafole-ng	n-tafoleng
se-bake-ng	bakeng
sa	sa
ho	ho
tshehets-a	tshehets-a
ka	ka
di-tjhelete	di-tjhelete
di-tjeo	di-tjeo
tsa	ts-a
ho	ho
hir-a	hira
ba-sebetsi	ba-sebetsi
ba	ba
batjha	batjh-a
di-lemo-ng	di-lemong
se-bake-ng	bakeng
sa	sa
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
di-feme	di-feme
ho	ho
hir-a	hira
ba-tho	ba-tho
ba	ba
se	se
n-a-ng	nang
bo-iphihlelo	bo-iphihlelo
ho	ho
le	le
ma-naneo	ma-naneooooooo
mang	mang
n-katoloso	n-katoloso
ya	y-a
ho	ho
hir-w-a	hir-w-a
ha	ha
se-tjhaba	se-tjhaba
l-e-ng	le-ng
tsele-ng	tsel-e-ng
sena	se-na
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
mo-theo	mo-theo
wa	w-a
tsa	ts-a
le-hae	le-hae
le	le
di-porojeke	di-porojeke
tsa	ts-a
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
le	le
di-porejeke	di-porejeke
tsa	ts-a
ho	ho
i-thut-a	i-thut-a
ho	ho
bal-a	bal-a
n-tlhokomelo	n-tlhokomelo
ya	y-a
le-lape-ng	lapeng
n-paballo	n-paballo
ya	y-a
di-kolo	di-kolo
le	le
me-rero	me-rero
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
ba-na	ban-a
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
theh-il-e	theh-il-e
bo-emedi	bo-emedi
ba	ba
n-aha	nah-a
n-tshetsopele-ng	ntshetsopeleng
ya	y-a
ba-tjha	batjh-a
re	re
la-e-ts-e	la-e-ts-e
le-kala	lekala
lena	le-na
ho	ho
sebets-a	sebets-a
ka	ka
potlako	n-potlako
se-bake-ng	bakeng
sa	sa
ho	ho
theh-a	theh-a
ma-kala	ma-kala
lona	lona
n-ahe-ng	nah-e-ng
ka	ka
bo-phara	bo-phara
hore	hore
le	le
re	re
thus-e	thus-e
ho	ho
sebets-an-a	sebets-an-a
le	le
ho	ho
pheth-aha-ts-a	pheth-aha-ts-a
ma-naneo	ma-naneooooooo
n-tshetsopele	ntshetsopele
ya	y-a
ba-tjha	batjh-a
ka	ka
hara	hara
mo-mmuso	mmmmuso
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ha	ha
mo-mmuso	mmmmuso
ona	ona
n-e	ne
ken-a	kena
kantoro-ng	kantorong
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
i-tlam-m-e	i-tlam-e
ho	ho
men-aha-ny-a	me-nahanya
bo-ikitlaetso	bo-ikitlaetso
ba	ba
rona	ron-a
ba	ba
ho	ho
ah-a	ah-a
mo-mmuso	mmmmuso
ma-tla	matla
tsw-el-a-ng	tsw-el-a-ng
pele	pele
re	re
its-e	i-ts-e
tla	tl-a
b-a	ba
