li-fuman-e	li-fum-an-e
ya-en-nengi	ya-en-nengi
n-jengalokh-a	njenga-lokhha
si-giding-a	si-giding-a
ku-kamadiba	ku-ka-a-ma-aba
na-mhlanjesi	na-m-hlanjesi
a-s-iziboph-elel-e	a-si-zi-bophelel-a
u-ku-akhel-a	u-ku-akh-el-a
i-ku-sas-a	i-ku-sas-a
eli-hle	eli-hl-e
aba-nzima	aba-nnzi-a
na-bamhlophe	na-ammhlophe
a-si-landel-e	a-si-land-el-e
i-rhuluphelo	i-rhuluphelo
ela-lw-elw-a	ela-l-wel-w-a
ng-umadib-a	ngu-mad-aba
u-bu-philo	u-bu-philo
ba-khe	ba-khe
ba-o-ke	bo-ke
i-rhuluphelo	i-rhuluphelo
ya-u-mu-phakathi	ya-u-mu-phakathi
wa-i-n-thando	w----ntando
ya-en-nengi	ya-en-nengi
na-u-khululekileko	na-u-khululekileko
lapha	l--ppha
bo-ke	bo-ke
a-ba-ntu	aba-ntu
ba-hlal-a	ba-hlal-a
nga-u-ku-thul-a	nga-u-ku-thul-a
b-a-namathuba	ba-na-a-ma-thuba
a-lingan-ako	a-linganako
si-biz-e	si-biz-e
u-ku-hlal-a	u-ku-hlal-a
nga-u-ku-hlanganyel-a	nga-u-ku-hlangany-e--
e-i-n-tambama	e-n-tambama
ngombana	nga-u-mu-bana
si-fun-a	si-fun-a
bonyana	b-o-i-n-naan
in-nengi	i-nengi
la-a-ba-ntu	la-a-ba-ntu
e-narh-eni	e-narheeni
a-ba-sebenzi	a-ba-sebenz-i
b-e-sikolo	ba-i-si-kolo
ba-b-eyingceny-e	ba-bey-ing-enyenye
y-o-i-m-nyanya	ya-u-mu-nyanya
lo	lo
si-ya-wathab-el-a	si-ya-a--thabel-a
a-ma-jadu	a-ma-jadu
a-tjengisw-e	a-tjengis-w-e
l-ilutjh-a	li-lutjha
ng-omnyany-a	nga-u-mu-nyanya
lo	lo
a-be-e-nt-w-an-a	a-be-entwana
a-ba-makhulu	aba-makkhlulu
ama-bili	a-ma-bili
na-i-si-thandathu	na-i-si-thandathu
aba-suk-a	aba-suk-a
k-izozok-e	ki-zo-zo-kk-e
i-i-m-funda	i-i-mufunda
ba-zi-bandakany-e	ba-zi-bandakany-eny-
ku-ku-lumopikiswano	ku-kuluumppkiis-ko
e-ya-n-dul-el-a	e-y-y-nduleela
u-kwethul-w-a	u-ku-ethul-w-a
kw-e-ku-lumo	kw-e-kulumo
nga-i-n-ndima	nga-i-n-dima
e-i-pini	e-pini
na-u-m-tlhago	na-u-m-tlhago
si-thokoz-is-a	si-thokoziss-a
u-mu-fundi	u-mu-fundi
o-babeth-e	oba-beth-e
e-i-hloko	e-i-hloko
u-charlotte	u-charlote
le	le
s-e-sekhondari	s-e-sekhondari
na-bobok-e	na-bobok-e
aba-ngenel-e	a-a-ngen-elee
i-pha-liswaneli	i-phalisw-anile
nga-u-ku-sebenz-a	nga-u-ku-sebenz-a
b-a-kwethu	ba-kwethu
na-bang-a-ni	na-banganni
si-hlangan-ile	si-hlangan-e
nga-pha-si	nga-phas-i
b-okufadalal-a	ba-u-ku-fadalal-a
kwa-u-mu-notho	kwa-u-mu-notho
e-pha-s-ini	e-phas-nni
u-nyaka	u-nyaka
sa-thoman-a	sa-thom-an-a
na-u-ku-ehl-a	na-u-ku-ehl-a
kwa-a-ma-andla	kwa-a-ma-andla
wa-u-mu-notho	wa-u-mu-notho
nga-i-m-va	nga-i-m-va
kwa-i-mi-nyaka	kw--i-mi-nyaka
u-ku-fadalala	u-ku-fadalal-a
kwa-u-mu-notho	kwa-u-mu-notho
wa-ithu	w-e-thu
k-wenz-a	ku-enz-a
ba-oni-ana	b-o-i-n-naan
ku-lahlek-e	ku-lahlek-e
i-mi-sebenzi	i-mi-sebenzi
e-ngi-ab-a	e-nga-b-a
in-nengi	i-nengi
la-i-labo	la-labo
a-ba-lahlekelw-a	a-balahhek-el-w-a
mi-sebenzi	mi-si-sebenzi
ba-a-ba-ntu	ba-a-ba-ntu
a-b-ondl-ako	abaondlako
nga-i-khaya	nga-i-khakha
ku-mhlolanja	ku-u-mu-hlolanja
wa-u-lu-nyaka	wa-y-nyaka
a-a-ma-bubulo	a-ma-bubulo
a-ba-sebenzi	a-ba-sebenz-i
na-u-mu-phakathi	na-u-m--phakhi
ba-vumeli-ana	ba-vumelan-a
wa-u-ku-ehlis-a	wa-u-ku-ehlis-a
i-zinga	i-zi-nga
lo-i-budisi	la-u-bu-disi
in-nengi	i-nengi
la-i-m-agadango	l---mmagadango
la	la
si-ya-wa-sebenz-is-a	si-ya-aw-ebeenz-a
si-thom-e	si-thom-e
u-ku-sebenzis-a	u-ku-sebenz-is-a
i-n-dlela	i-n-dlela
e-na-a-ma-ndla	e-na-a-ma-andla
e-lw-a	ell-a
na-u-ku-ehl-a	na-u-ku-ehl-a
kwa-u-mu-notho	kwa-u-mu-notho
kw-e-emali	kw-e-emali
ku-mthangalasisekelo	ku-u-mu-thangalssisi
u-ku-enzel-a	u-ku-enz-el-a
u-bu-lula	u-bu-lul-a
si-ngezelel-e	si-nge-zeeel-e
i-si-khathi	i-si-khathi
s-o-i-kukhulisa	sa-u-ku-khulis-a
i-mali	i-ma-li
s-a-bentwana	sa-abentwana
sa-dlulisel-a	sa-dlulis-el-a
i-si-bonelelwesi	i-si-bonelelekeso
e-ba-nt-w-an-e-ni	e-bantw-nn-i
aba-na-i-mi-nyaka	aba-neme--nyaka
e-ngi-ehl-a	e-nga-ehl-a
kw-e-li14	kw-e-li1
e-i-mi-nyaka-ini	e-i-mi-nyakeni
a-emi-thathu	e-i-thathu
e-z-ako	eza-ko
a-be-e-nt-w-an-a	a-be-entwana
a-ba-zi-ingidi	a-ba-zi-indi
ezin-bili	ezi-mbili
aba-vel-a	aba-vel-a
e-i-mi-ndeni-ini	e-m-mi-ndeni-ini
ba-i-mi-nyaka	ba-i-mi-nyaka
u-ku-y-a	u-ku-y-a
b-azakuzuz-a	ba-zaku-zuz-a
e-i-n-mali-ini	e-a-ma-lini
s-a-bentwana	sa-abentwana
i-hlangano	i-hlangano
e-thuthukis-a	e-thuthuk-is-a
a-a-ma-bubulo	a-ma-bubulo
i-bekel-e	i-bek-el-e
nga-hlany-e	nga-hlanye
e-izir6	ezi-rr
u-ku-siz-a	u-ku-siz-a
i-i-n-kampani	i-i-n-kampani
e-zi-sebudis-ini	e-i--sebudisinni
u-rhulumende	u-rhulumende
w-ethul-a	w-e-thula
i-hlelo	i-hlelo
la-u-ku-bandul-a	la-u-ku-bandul-a
a-baphelel-w-e	a-a-phelel-w-e
mu-sebenzi	mu-mu-sebenzi
u-ku-nikel-a	u-ku-nik-el-a
a-ba-sebenzi	a-ba-sebenz-i
i-thuba	i-li-thub-a
la-i-si-khathi	le-i-si-khathi
s-okubandulw-a	sa-u-ku-bandul-w-a
ku-nokurhirizwa	ku-nokuurhirizz
i-mi-zamo	i-mi-zamo
le	le
i-thuthukis-w-a	i-thuthuk-is-w-a
la-ithu	lethhu
l-e-ze-misebenzi	la-i-zi-emisebenzi
ya-u-mu-buso	ya-u-mu-buso
si-zakukhumbul-a	si-zaku-khumulul-a
bonyana	b-o-i-n-naan
e-i-kulumeni	e-u-ku-lum-a-ini
y-o-i-n-yaka	ya-y-nyakaka
nga-memezel-a	nga-a-m-eeeeela
ba-oni-ana	b-o-i-n-naan
i-hlelo	i-hlelo
e-i-landisiweko	e-i-li-ndisiweko
la-i-mi-sebenzi	la-i-mi-sebenzi
li-zakuvez-a	li-zaku-vez-a
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
e-ima500	e-madg0
ku-nobayeni	ku-noba-y-ni
e-nyak-eni	e-i-nyakeni
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
la	la
a-vezw-a	a-vez-w-a
wa-u-ku-siz-a	wa-u-ku-siz-a
a-ba-ntu	aba-ntu
u-ku-thol-a	u-ku-thol-a
la-u-mu-sebenzi	la-u-mu-sebenzi
na-a-ma-thuba	na-a-ma-thuba
w-okubandulw-a	wa-u-ku-bandul-w-a
za-khamuzi	za-khamuzi
ku-lithabo	ku-lithabo
ki-thi	ku-th-i
u-ku-memezel-a	u-ku-memeez-el-a
ba-oni-ana	b-o-i-nyana
e-u-ku-phel-a-ini	e-u-ku-phel-a-ini
ku-kanobayeni	ku-kano
bes-el-e	be-s-e-l-e
si-vez-e	si-vez-e
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
ya-u-mu-buso	ya-u-mu-buso
a-dlul-a	a-dlul-a
a-ma-480	a-ma-800
e-kumaphesent-e	e-ku-maphesente
a-ma-97%	a-ma-27%
w-e-sibalo	w-e-sibalo
si-si-nqophil-e	si-si-nqophile
i-mi-sebenzi	i-mi-sebenzi
le	le
i-semikhakheni	i-si-emi--khakhani
e-njenga-i-yokwakha	e-njenga-y-kokkwako
a-ma-hlelo	a-ma-hlelo
w-e-tjhejo	w-e-tjhejo
l-e-makhaya	la-i-n-akhaya
na-i-lemphakathini	na-i-li-emphakhi
na-maphrojekthi	na-maphrojekthi
si-lemuk-e	si-lemmuk-e
i-mi-khakha	i-mi-khakha
e-tlhog-a	e-i-lhoga
u-ku-thuthuk-is-w-a	u-ku-thuthuk-is-w-a
e-i-si-zasebenza	esi-zas-ebenz-a
nga-yo	nga-yo
kwa-i-si-khathi	kwa-i-si-khathi
u-ku-fak-a	u-ku-fak-a
hlangan-a	hlangan-a
a-ma-thuba	a-ma-thuba
a-nga-i-zelelelweko	a-nga-eeleeeel-w-
w-a-maphrojekhthi	wa-a-marphjekhini
wa-i-mi-sebenzi	wa-i-mi-sebenzi
si-ya-az-i	si-ya-zz-i
ku-o-ba-ana	ku-o-bana
i-mi-zamo	i-mi-zamm
le	le
na-ama-nye	na-ama-nye
n-gez-e	ngi-e)z-
ya-rhobhis-a	y-arhobhis-a
u-m-thint-el-a	u-mu-thintla
w-o-i-kwehla	wa-u-ku-ehl-a
kwa-u-mu-notho	kwa-u-mu-notho
si-thokoz-a	si-thokoz-a
u-m-moya	u-mumoya
wa-u-bu-ntu	wa-u-bu-ntu
w-e-mindeni	w-e-mii-ndeni
i-mi-sebenzi	i-mi-sebenzi
ya-u-mu-phakathi	ya-u-mu-phakathi
n-eyokuzinikel-a	na-i--u-kuzzikelel-a
e-khuthaz-a	e-khuthaz-a
in-nengi	i-nengi
la-a-ba-ntu	la-a-ba-ntu
u-ku-siz-a	u-ku-siz-a
labo	labo
a-ba-thintw-a	aba-thint-w-a
ba-u-mu-notho	b-o-i-m-notho
e-enkhath-ini	e-enkhathinii
e-i-zi-budisi	e-i-zi-disi
ze-zo-mnotho	ze-zo-mnotho
bonyana	b-o-i-nyana
seku-b-a	sae-ku-aa
i-mi-sebenzi	i-mi-sebenzi
y-e-zo-mnotho	y-e-zo-mnotho
i-ya-nd-a	i-ya-nda
si-lindel-e	si-lind-el-e
u-ku-khul-a	u-ku-khul-a
kwa-u-mu-notho	kwa-u-mu-notho
phambili	phambili
za-i-mi-sebenzi	za-i-mi-sebenzi
e-zikhutjhw-e	e-zikhutjhwe
nga-i-lesibili	nga-i-li-sibili
bonyana	b-o-i-nyana
njenga-nje	njenga-nje
u-mu-notho	u-mu-notho
u-vez-a	u-vez-a
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
ku-sesemsinya	ku-s-e-s-es-ny-a
na-u-kho	na-u-kho
ukobana	u-kobana
le-tuthuko	l-e-tuthukko
u-rhulumende	u-rhulumende
n-gez-e	nga-eze
a-wa-lis-a	a-wal-is-a
w-o-i-kusekela	wa-u-ku-sek-el-a
ku-i-si-khathi	ku-sisiath-i
sa-u-ku-enz-a	sa-u-ku-enz-a
i-si-sekelo	i-si-sekelo
s-okukhul-a	sa-u-ku-khul-a
kwa-u-mu-notho	kwa-u-mu-notho
u-ku-khul-a	u-ku-khul-a
oku-vez-a	oku-vez-a
i-mi-sebenzi	i-mi-sebenzi
i-hlelo	i-hlelo
la-ithu	lethhu
lo-u-m-thangalasisekelo	lo-u-mu-thangalssisi
wa-i-si-khathi	wa-i-si-khathi
esi-de	e-s-d-e
li-zakusiz-a	li-zaku-siz-a
u-mu-notho	u-mu-notho
wa-ithu	w-e-thu
bonyana	b-o-i-n-naan
u-hlum-e	u-hlum-e
a-ma-hlelo	a-ma-hlelo
wa-ithu	w-e-thu
a-zakwandis-a	a-zaku-and-is-a
u-mu-khiqizo	u-mu-khiqizo
wa-ithu	w-e-thu
le-i-phaliswano	la-i-li-phaswano
w-e-qhinga	wa-i-li-qhinga
la-u-ku-sebenz-a	la-u-ku-sebenz-a
kwa-a-ma-bubulo	kwa-a-ma-bubulo
na-i-tjhejo	na-i-tjhejo
la-ithu	lethhu
eli-tjh-a	eli-tjh-a
la-i-mi-sebenzi	la-i-mi-sebenzi
l-izakwakh-a	li-zaku-akh-a
a-a-ma-bubulo	a-ma-bubulo
na-kghon-a	na-kghona
u-ku-qatjha	u-ku-qatjha
a-ba-sebenzi	a-ba-sebenz-i
i-hlelo	i-hlelo
la-ithu	lethhu
la-u-ku-thuthuk-is-a	la-u-ku-thuthuk-is-a
l-izakuthuthuk-is-a	li-zaku-thuthuk-is-a
u-mu-khiqizo	u-mu-khiqizo
w-e-makhaya	wa-i-ma-khaya
na-maphilo	na-a-ma-philo
wa-a-ba-ntu	wa-a-ba-ntu
i-si-sekelo	i-si-sekelo
s-a-mano	sa-amaano
wa-ithu	w-e-thu
w-okuvuselel-a	wa-u-ku-vuselel-a
u-mu-notho	u-mu-notho
ku-lihlelo	ku-lihlelo
la-ithu	lethhu
e-i-mi-nyaka-ini	e-i-mi-nyakeni
a-emi-thathu	e-i-thathu
e-z-ako	eza-ko
u-rhulumende	u-rhulumende
u-zoku-sebenz-is-a	u-zo-ku-sebenzis-a
e-izimar846	ezi-marr80
u-ku-lungis-a	u-ku-lungis-a
wa-u-mu-phakathi	wa-u-mu-phakathi
mayela-ana	ma-yel-an-a
na-i-eenthuthi	na-i-enthuthi
si-nabis-e	si-na-bis-e
i-thungelelwano	i-thungelelwana
la-ithu	lethhu
si-zaku-enz-a	si-zaku-enz-a
i-i-m-poro	i-i-m-poro
za-ithu	za-thu
ze-entimela	ze-entimela
zi-yathembekazisebenza	zi-ya-thembek-a
ku-hle	ku-hle
zi-hlanganiswa	zi-hlangan-is-w-a
na-madoyelo	na-madodolelo
w-e-enkepe	u-e-enepe
u-ku-qinisek-is-a	u-ku-qinisek-is-a
u-ku-tholakal-a	u-ku-thol-akal-a
ku-hle	ku-hle
si-hlom-e	si-hlom-e
i-komiti	i-komiti
y-a-bongqongqotjhe	y-a-oongongoqotoooooooooooooooooooooooo
e-qal-an-ile	e-qal-an-ile
n-ezamandl-a	na-i-zi-aamdla
u-ku-thuthuk-is-a	u-ku-thuthuk-is-a
i-hlelo	i-hlelo
l-eensetjenzis-w-a	le-ensetjenziswa
la-i-mi-nyaka	la-i-mi-nyaka
hlanga-ana	hlangan-a
i-komiti	i-komiti
le	le
i-za-kutjheja	i-zaku-tjhe
u-ku-zi-bandakany-a	u-ku-zi-bandakany-a
kw-a-bakhiqizi	kwa-a-ba-kiqizi
b-e-gezi	b-e-gezi
a-ba-zi-jameleko	a-ba-zijameleko
na-u-ku-vikel-a	na-u-ku-vikel-a
e-manan-ini	e-m-na-nanini
a-khuphuk-ako	a-khuphukako
si-zaku-hlom-a	si-zaku-hlom-a
o-zi-jameleko	o-zi-jameleko
o-nganatjhebiswano	o-nga-natjhebii
i-eskom	i-eskommbe
phambili	phambili
na-u-ku-akh-a	na-u-ku-akh-a
a-ma-andla	a-ma-ndla
a-nga-i-zelelweko	a-nga-e-leleekko
na-u-ku-thuthuk-is-a	na-u-ku-thuthuk-is-a
i-tjhejo	i-tjhejho
le-entetjhi	l-e-entetjhi
ze-gezi	ze-egzi
ya-u-ku-qinisek-is-a	ya-u-ku-qinisek-is-a
u-ku-thuthuk-is-w-a	u-ku-thuthuk-is-w-a
k-okukhul-a	kwa-u-ku-khul-a
kwa-u-mu-notho	kwa-u-mu-notho
o-hlanganyelweko	o-hlanganyelweko
si-hlom-e	si-hlom-e
u-mu-khandlu	u-mu-khandu
w-o-i-kweluleka	wa-u-ku-elulek-a
n-gokuthuthukis-w-a	nga-u-ku-thuthuk-is-a
kwa-u-mu-notho	kwa-u-mu-notho
o-nabileko	o-na-bileko
wa-a-ba-ntu	wa-a-ba-ntu
aba-nzima	aba-nzi-a
omu-khulu	omm-khulu
na-u-rhabako	na-o-rhabako
mayela-ana	ma-yel-an-a
n-okutjhugululw-a	na-u-ku-tjhugulul-a
kw-e-mithethomgomo	kw-e-mithetomo
ku-fanel-e	ku-fanel-e
ku-b-e	ku-b-e
ku-ngen-elel-a	ku-ngen-el-el-a
oku-nqoph-e	o-kunqoph-e
u-ku-vez-el-a	u-ku-vez-el-a
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
a-ma-zinga	a-ma-zinga
w-elutjh-a	w-e-lltjha
e-i-li-ngasebenziko	e-i-nga-sebenzii
a-a-phezulu	a-phezulu
ku-nokulindelekileko	ku-n-kukulnndelelo
ku-za-kwendlalwa	ku-zaku-endllwa
mayela-ana	ma-yel-an-a
no-ku-sekel-a	na-u-ku-sek-el-a
nga-i-emali	nga-i-e-mali
i-jima	i-jima
lo-i-kuqatjha	l-o-i-kuqatjha
u-ku-khuthaz-a	u-ku-khuthaz-a
i-i-n-khampani	i-i-n-khampani
ba-oni-ana	b-o-i-n-naan
zi-qatjhe	zi-qatjhe
a-ba-sebenzi	a-ba-sebenz-i
a-ba-nganalemuko	aba-nganalemkwkko
ku-nehlelo	ku-na-i-li-hlelo
e-liz-ako	eli-zakko
l-o-i-kunabisa	la-u-ku-ni-ai-is-a
kwa-u-mu-phakathi	kwa-u-mu-phakathi
lokhu	la-u-khu
ku-fak-a	ku-fak-a
hlanga-ana	hlangan-a
w-o-i-m-thangalasisekelo	wa-u-mu-thangalasisi
w-e-endawo	wae-endawo
i-fundo	i-fundo
na-i-li-hlelo	na-i-li-hlelo
lo-i-kusiza	la-u-ku-siz-a
ngo-ku-fundis-a	nga-u-ku-fund-is-a
a-ma-khaya	a-ma-khaya
w-e-tjhejo	w-e-tjhejo
u-ku-tjhejwa	u-ku-tjhejw-a
na-a-ma-hlelo	na-a-mh-elo
wa-u-ku-thuthuk-is-a	wa-u-ku-thuthuk-is-a
a-be-ntwana	a-be-entwana
nga-u-nyaka	nga-u-nyakaka
sa-hlom-a	sa-hlom-a
i-ejensi	i-ejenesi
ya-u-ku-thuthuk-is-a	ya-u-ku-thuthuk-is-a
si-layel-e	si-lay-el-e
i-ejensi	i-ejenesi
le	le
bonyana	b-o-i-n-naana
i-sebenz-e	i-si-eebenz-e
u-ku-hlom-a	u-ku-hlom-a
i-za-khiwo	i-zi-akhiwo
za-yo	za-yo
e-narh-eni	e-narheeni
ma-zombe	ma-zomb-e
u-ku-enzelel-a	u-ku-enz-elel-a
ba-oni-ana	b-o-i-nyana
i-kghone	i-khon-e
u-ku-si-siz-a	u-ku-sisiz-a
u-ku-ling-an-is-a	u-ku-ling-an-is-a
a-ma-hlelo	a-ma-hlelo
a-n-qotjhisw-e	a-nqotjhis-w-e
e-u-ku-thuthuk-is-a-ini	e-u-ku-thuthuk-is-e--i
lokha	la-u-kh-a
u-mu-buso	u-mu-buso
lo	lo
na-wungenako	na-wunganako
nga-u-nyaka	nga-u-nyakaka
sa-zibophelel-a	sa-azibopheelel-a
u-ku-sebenz-a	u-ku-sebenz-a
ngu-a-ma-andla	nga-a-ma-andla
u-ku-akh-a	u-ku-akh-a
e-thuthuk-ako	e-thuthukako
sa-th-i	sa-th-i
u-zaku-b-a	u-zaku-b-a
mu-buso	mu-mu-so
o-qalelel-a	o-qallele-a
na-i-enrhuluphelo	na-i-enrhuluphelel
za-a-ba-ntu	za-a-ba-ntu
o-sebenz-a	o-sebenz-a
na-u-rhabako	na-o-rhabako
u-nyaka	u-nyaka
lo	lo
u-zaku-b-a	u-zaku-b-a
ng-unyak-a	ngu-nyaka
wa-u-ku-enz-a	wa-u-ku-enz-a
eli-bonakal-a	eli-bonakal-a
khulu	khulu
nga-u-m-buso	nga-u-mu-buso
lo	lo
w-a-zi	wa-zi-i
lapha	l-a-pha
a-ba-ntu	aba-ntu
ba-hlal-a	ba-hlal-a
kho-na	khona
u-zw-isis-a	u-z-i-siss-a
za-bo	za-bo
u-phendul-a	u-phendul-a
u-rhulumende	u-rhulumende
ku-fanel-e	ku-fanel-e
a-sebenz-e	a-se-eb-enz-e
khulu	khulu
ku-hle	ku-hle
si-zakulind-el-a	si-zaku-lindel-a
na-i-mi-sebenzi	na-i-mi-sebenzi
ya-u-mu-phakathi	ya-u-mu-phakathi
na-i-n-embombono	na-i-n-embombono
le	le
si-akh-a	sa-kh-a
e-nzinz-e	e-enz-zz-e
e-u-ku-sebenz-a-ini	e-u-ku-sebenz-a-ini
ngo-ku-thuthukis-a	nga-u-ku-thuthuk-is-a
u-ku-hlel-a	u-ku-hlel-a
ku-nye	ku-nye
n-okutjhej-isis-a	na-u-ku-tjhejis-is-
u-ku-sebenz-a	u-ku-sebenz-a
na-u-ku-hlolisisa.	na-u-ku-hlolis-s--a-a
u-fan-el-e	u-fanel-e
si-hlanganis-e	si-hlangan-is-e
na-i-enlinganiso	na-i-enlinganiso
zo-bulili	za-obu-lili
e-i-hlelweni	e-i-li-hlewo-ini
l-ikarhulumend-e	li-karhulumende
la-u-ku-sebenz-a	la-u-ku-sebenz-a
i-senzwesi	i-si-enz-wesi
si-zaku-qinisek-is-a	si-zaku-qin-is-ek-is-a
ba-oni-ana	b-o-i-n-naan
a-be-e-nt-w-an-a	a-be-entwana
na-a-ba-ntu	na-a-ba-ntu
ba-thol-e	ba-thol-e
a-ma-thuba	a-ma-thuba
w-e-tuthuko	w---ttuthuko
u-ku-memezel-a	u-ku-memeez-el-a
i-n-dlela	i-n-dlela
e-tjh-a	e-tjh-a
ya-u-ku-enz-a	ya-u-ku-enz-a
i-zin-tho	i-zintho
u-mu-sebenzi	u-mu-susebenzi
w-e-minyango	w--i-mi-nyango
u-za-kulinganiswa	u-zaku-ling-an-is-a--a
nga-i-mi-phumela	nga-i-mi-phumela
e-zab-e	e-zab-e
i-tlanywe	i-tlany-w-e
nga-i-li-hlelo	nga-i-li-hlelo
la-ithu	leth-u
l-okuhlol-isis-a	la-u-ku-hlolis-s---a
n-okutjhej-isis-a	na-u-ku-tjhejis-is-a
a-b-ongqongqotjh-e	a-bongoqngqottntinatini
aba-qal-an-ile	a-a-qal-an-ile
na-u-mu-phumela	na-u-mu-phumela
o-th-ile	o-thile
b-azakutlikitl-a	ba-zaku-tikitili
i-si-vumelwano	i-si-vumelwano
sa-u-ku-enz-a	sa-u-ku-enz-a
i-mi-sebenzi	i-mi-sebenzi
na-u-m-ongamel	na-omo-ngamele
s-izakuhlathulul-a	si-zaku-hlathul-a
oku-fanel-e	oku-fanel-e
ku-enz-iw-e	ku-enz-iw-e
bu-njani	b-njani
ngu-u-bani	ngu-bani
e-i-si-khathi-ini	e-i-si-khathiiii
zi-phi	zi-phi
i-i-n-linganiso	i-i-n-linganiso
n-jengalokh-a	njenga-lokhh-a
na-zi	na-zi-i
si-zi-bophelel-e	si-zi-bophelel---a
ku-maqalontangi	ku-maqalontanni
ama-hlanu	ama-hlanu
i-fundo	i-fundo
za-a-ma-philo	za-a-ma-philo
u-ku-thuthuk-is-w-a	u-ku-thuthuk-is-w-a
n-okutjhugululw-a	na-u-ku-tjhugulul-a
u-ku-dal-a	u-ku-dal-a
i-mi-sebenzi	i-mi-sebenzi
e-i-n-etlha	e-na-i-tlha
na-u-bu-lelesi	na-u-bu-lelesi
nga-phezu	nga-phezu
kwa-lokho	kwa-lokho
si-zoku-sebenz-el-a	si-zo-ku-sebenz-e
u-ku-thuthuk-is-a	u-ku-thuthuk-is-a
u-ku-sebenz-a	u-ku-sebenz-a
kw-a-borhulemende	kw-a-borhuleene
u-ku-thuthuk-is-w-a	u-ku-thuthuk-is-w-a
no-ku-hlalisw-a	na-u-ku-hlalis-w-a
ku-hle	ku-hle
kwa-a-ba-ntu	kwa-a-ba-ntu
si-zaku-enz-a	si-zaku-enz-a
i-mi-sebenzi	i-mi-sebenzi
e-th-ile	e-thile
ku-o-ba-ana	ku-o-bana
si-fikelel-e	si-fikel-el-e
ku-i-mi-phumela	ku-mi-phumel-a
le	le
si-bek-e	si-bek-e
i-fundo	i-fundo
na-u-ku-thuthuk-is-w-a	na-u-ku-thuthuk-is-w-a
k-w-amakghonofund-w-a	kwa-ama-khononduu--
e-i-kabeni	e-i-ka-eni
y-e-mithethomgomo	y-e-mithethomgo
lo	lo
e-i-li-hlelo-ini	e-i-li-hlelo-ini
la-ithu	lethhu
l-onyak-a	la-y-nyaka
si-fun-a	si-fun-a
u-ku-thuthuk-is-a	u-ku-thuthuk-is-a
i-kghono	i-kghono
la-u-ku-fund-a	la-u-ku-fund-a
e-ba-nt-w-an-e-ni	e-bantwann-eni
ba-ithu	b-e-thu
ukuthi	u-ku-th-i
b-a-kghone	ba-kghon-e
na-u-ku-bal-a	na-u-ku-bal-a
e-i-mi-nyaka-ini	e-i-mi-nyakeni
y-e-sigabasisekelo	ya-i-si-gabasiseko
nga-phandle	nga-phandle
k-okoban-a	ku-o-kobana
si-enz-e	si-enz-e
lokhu	la-u-khu
n-gez-e	ngi-e)z-
s-akghon-a	s-a-kghona
u-ku-thuthuk-is-a	u-ku-thuthuk-is-a
i-khwalithi	i-li-khalithi
ya-ithu	y-e-thu
i-lula	i-lula
kodwana	kw-o-dwana
i-qakath-ek-ile	i-qakath-ek-ile
si-fun-a	si-fun-a
a-ba-fundi	a-ba-fundi
babe	ba-b-e
s-e-sikolweni	sa-i-si-kolo-ini
nga-i-tlasini	nga-i-tlasini
nga-i-si-khathi	nga-i-si-khathi
ba-fund-e	ba-fund-e
ku-fundisw-e	ku-fund-i--w-e
a-ma-i-ri	a-ma-ii
a-li-khomb-a	a-li-khomb-a
nga-i-li-langa	nga-i-li-langa
s-izakusiz-a	si-zaku-siz-a
ngo-ku-banikel-a	nga-u-ku-ban-iel-a
a-ma-hlelo	a-ma-hlelo
w-a-malanga	wa-a-ma-langa
wo-ke	w-oke
a-n-emininingwan-a	a-na-i-mi-niningo-ana
e-i-pheleleko	e-i-li-eheleko
si-zakunikel-a	si-zaku-nik-el-a
a-ba-fundi	a-ba-fundi
za-u-ku-sebenz-el-a	za-u-ku-sebenz-el-a
ezi-setjenzisw-a	e-zisetjenzisw-a
lula	lula
e-i-zi-tlolwe	ezi-tlol-w-e
nga-wo	nga-wo
wo-ke	w--ke
a-ma-limi	a-ma-limi
u-ku-thom-a	u-ku-thom-a
u-nyaka	u-nyaka
lo	lo
ku-y-a	ku-ya
phambili	phambili
ba-o-ke	bo-ke
a-ba-fundi	a-ba-fundi
be-bang-a	ba-ba-g-a
le-isi3	le-i-si
na-ile9	na-i-li
ba-zakutlol-a	ba-zaku-tlola
u-ku-hlol-a	u-ku-hlol-a
k-okufund-a	kwa-u-ku-fund-a
ezi-linganisw-e	e-zi-ling-an-i--w-e
nga-u-ku-zijameleko	nga-u-ku-zi-jelelel
si-nqoph-e	si-nqophe
u-ku-ngi-ezel-el-a	u-ku-ngi-ezel-el-a
i-zinga	i-zi-nga
le-enhlahlubo	la-enhlahlulo
lezi	la-e-zi
u-ku-sukel-a	u-ku-suk-el-a
e-i-li-zinga-ini	e-i-nga-eni
l-a-gadesi	la--gadesi
e-li-hlangan-a	eli-hlangan-a
na-maphesente	na-maphesente
ku-y-a	ku-ya
