la-oll-a	laol-l-a
di-nako	di-nako
tsena	tsen-a
tsa	tsa
histori	histori
ya	y-a
rona	ron-a
di	di-
bon-tsh-a	bon-tsh-a
bo-kgoni	bo-kgoni
ba	ba-
rona	ron-a
ba	ba
ho	ho
i-pop-a	i-pop-a
le	le
ka	k-a
tlasa	tla-a
ma-thata	ma-thata
maholo	mahhlo
le	le
ho	ho
beh-a	beh-a
di-tabatabelo	di-tabatabelo
tsa	tsa
n-aha	naha
ka	k-a
pele	pele
ho	ho
di-tabatabelo	di-tabatabelo
tse	tse
ding	di-ng
tsohle	tsohle
Ha	ha
re	re
sebets-a	sebets-a
mmoho	mo-mho
re	re
ka	k-a
ets-a	ets-a
haholwanyane	hahalowanyane
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
se-lemo-ng	se-lemong
sena	se-na
se	se
ho-dimo	ho-dimo
re	re
tla	tla
tshway-a	tshway-a
di-lemo	di-lemo
tse	tse
le-kgolo	le-kgolo
tsa	tsa
ho	ho
theh-w-a	theh-w-a
ha	ha
N-Kopano	n-popano
ya	y-a
Aforika	aforika
bo-rwa	bo-rwa
theh-il-w-e-ng	theh-il-w-e-ng
ka	k-a
Sa	sa
bo-hlokwa	bohloo-w-a
ke	ke
hore	hore
ho	ho
qhel-el-w-a	qhel-el-w-a
ka	k-a
thoko	n-thoko
ha	ha
ba-tho	ba-tho
ba	ba-
batsho	ba-tsh
N-Kopano-ng	n-kopanong
ena	en-a
b-il-e	bile
le	le
leng	le-ng
la	la
ma-baka	ma-baka
maholo	mahhlo
hore	hore
mo-kgatlo	mo-kgatlo
wa	waa
theh-w-e	theh-w-e
ka	k-a
Ha	ha
re	re
tla	tla
b-e	be
re	re
tshway-a	tshway-a
di-lemo	di-lemo
tsena	tsen-a
tse	tse
le-kgolo	le-kgolo
se-lemo-ng	se-lemong
sena	se-na
re	re
lok-el-a	lok-el-a
ho	ho
thuh-is-a	thuh-is-a
le	le
ho	ho
hopol-a	hopol--a
tsela	tsel-a
eo	eo
re	re
tsama-il-e-ng	tsama-il-e-ng
jwaleka	jwalek-a
n-aha	n-aa
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
hopol-a	hopol--a
ma-ntswe	mants-w-e
Madiba	ma-diba
ha	ha
n-e	ne
lokoll-w-a	lokol-l-w-a
ha	ha
n-e	ne
r-e	re
mme	moe
ke	ke
qots-a	qots-a
Ke	ke
em-e	em-e
ka	k-a
pele	pele
ho	ho
lona	lona
se-ng	se-ng
Jwaloka	jwalok-a
mo-porofeta	mo-porofeta
empa	emp-a
Jwaloka	jwalok-a
mo-sebeletsi	mo-sebeletsi
ya	y-a
i-kokobe-d-its-e-ng	i-kokob-ed-its-e-ng
wa	waa
lona	lona
se-tjhaba	se-tjhaba
bo-ikitlaetso	bo-ikitlaetso
ba	ba-
lona	lona
bo	bo
se	se
n-a-ng	nang
ho	ho
lekan-ng-w-a	lek-anng-w-a
ke	ke
bona	bo-na
bo	bo
e-nts-e-ng	ents-e-ng
hore	hore
ke	ke
b-e	be
mona	mo-na
kajeno	n-kajeno
Ha	ha
ho	ho
l-e	le
jwalo	jwalo
ke	ke
beh-a	beh-a
di-lemo	di-lemo
tse	tse
s-ets-e-ng	setsseng
tsa	tsa
ho	ho
phel-a	phel-a
ha	ha
ka	k-a
ma-tsoho-ng	ma-tsohong
lona	lona
ma-ntswe	mants-w-e
ana	ana
re	re
kgotha-ts-a	kgotha-ts-a
hore	hore
re	re
se	se
ke	ke
ra	ra
phomol-a	phomol-a
ho	ho
fihl-el-a	fihl-el-a
re	re
fihl-el-l-a	fihl-el-l-a
di-tabatabelo	di-tabatabelo
tsa	tsa
ho	ho
b-a	ba
se-tjhaba	se-tjhaba
se	se
lokol-oh-il-e-ng	lokol-oh-il-e-ng
bo-fume-ng	bof-umeng
le	le
bo-hloki-ng	bohlloking
di-lemong	di-lemong
tse	tse
ma-shome	ma-shome
mabedi	ma-bedi
sa	sa
l-e	le
Madiba	ma-diba
lokoll-w-a	lokol-l-w-a
n-aha	naha
ya	y-a
rona	ron-a
feto-h-il-e	fetoh--il-e
haholo	haholo
mo-presidente	mo-presidente
Mandela	mandela
kopan-ts-e	kopan--ts-e
n-aha	naha
ena	en-a
ka	k-a
se-pheo	se-pheo
sa	sa
ho	ho
r-e	re
hlok-e	hlok-e
n-kgethollo	n-kgethllllo
ka	k-a
bo-ng	bong
ka	k-a
bo-tjhaba	bo-tjhaba
mme	moe
b-e	be
n-aha	n-aa
ya	y-a
demokerasi	demokerasi
le	le
Aforika	aforika
bo-rwa	bo-rwa
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
Kajeno	n-kajeno
ha	ha
re	re
ketek-a	ketek-a
n-tokoloho	n-tokoloho
ya	y-a
Madiba	ma-diba
ha	ha
re	re
i-tlam-e-ng	i-tlam-e-ng
hore	hore
re	re
tla	tla
ah-a	ahaa
bo-kamoso	bo-kamoso
bo	bo
betere	betere
se-bake-ng	ba-keng
sa	sa
ma-Afrika	ma-afrika
bo-rwa	bo-rwa
oohle	oohle
ba	ba
batsho	ba-tsh
le	le
ba	ba-
Basweu	baswweu
Ha	ha
re	re
latel-l-e-ng	latel-l-e-ng
n-toro	n-ro
ena	en-a
ya	y-a
Madiba	ma-diba
ya	y-a
lw-an-e-ts-e-ng	lwan-e-ts-e-ng
bo-phelo	bo-phelo
ba	ba-
hae	hae
Bohle	bo-hle
n-toro	toro
ya	y-a
se-tjhaba	se-tjhaba
sa	sa
demokerasi	demokerasi
se	se
lokol-oh-il-e-ng	lokol-oh-il-e-ng
moo	mo-o
ba-tho	ba-tho
ba	ba
phel-a-ng	phel-a-ng
mmoho	mo-mho
ka	k-a
n-kutlwano	n-kutlwano
le	le
me-nyetla	me-nyetla
lek-an-a-ng	lek-an-a-ng
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
bits-its-e	bitsitis-e
n-kopanelo	n-kopanelo
ena	en-a
ya	y-a
palamente	palamente
bo-siu	bo-siu
hore	hore
bo-ngata	bonngata
ba	ba
ba-tho	ba-tho
ka	k-a
n-ahe-ng	n-ahng
ba-sebetsi	ba-sebetsi
le	le
ba-na	ba-na
ba	ba-
di-kolo	di-kolo
b-e	be
n-karolo	n-karolo
ya	y-a
mo-rero	mo-rero
ona	on-a
Re	re
kgahl-is-its-w-e	kgahl-is-its-w-e
ke	ke
mo-rolo	mo-rolo
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tjha	batjha
ka	k-a
mo-rero	mo-rero
ona	ona
ba-na	ba-na
ba	ba-
ba	ba-
tsw-a-ng	tswan-ng
di-provense-ng	di-provenseng
tsohle	tsohle
ba	ba-
b-il-e	bile
teng	teng
di-ngangisano-ng	di-ngangisanong
tsa	tsa
ma-ntlha	mantlha
tse	tse
et-el-l-a-ng	et-el-l-a-ng
pele	pele
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	sa
n-karolo	n-karolo
eo	eo
ba-tjha	batjha
ba	ba-
ka	k-a
bapal-a-ng	bap-la-a-ng
n-twantsho-ng	n-wwantshong
ya	y-a
bo-fuma	bo-fuma
Re	re
thoho-lets-a	thohoo-e-ts-a
mo-hlodi	mo-hlodi
wa	waa
n-kakaretso	n-kakaretso
Charlotte	charlotte
le	le
Fleur	fleur
wa	waa
le	le
ba	ba-
nk-a	nk-a
n-karolo	n-karolo
bohle	bo-hle
se-bake-ng	ba-keng
sa	sa
n-tshebetso	tshebetso
ma-tla	matla
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Re	re
kopan-a	kopan-a
ho	ho
ma-emo	ma-emo
thekes-el-a-ng	thekesel-a-ng
mo-ruo	mo-ruo
wa	waa
le-fatshe	lef-atshe
Ngwahola	ng-ngwahala
re	re
b-il-e	bile
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
le-kgetlo	le-kgetlo
la	la
pele	pele
di-lemo-ng	di-lemong
tse	tse
ma-emo	ma-emo
ana	ana
mabe	ma-be
mo-ruo	mo-ruo
e-nts-e	ents--e
hore	hore
re	re
lahl-eh-el-w-e	lahl-eh-l-w-e
ke	ke
me-sebetsi	me-sebetsi
bo-holo	bo-holo
ba	ba
bao	ba-o
ba	ba
lahl-eh-e-ts-w-e-ng	lahl-eh-ets-w-e-ng
ke	ke
me-sebetsi	me-sebetsi
n-e	ne
l-e	le
bona	bo-na
ba	ba
j-er-e-ng	j-reng
ma-lapa	ma-lapa
futsan-eh-il-e-ng	futsan-eh-il-e-ng
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
ka	k-a
Hlakola	hlakol-a
mo-mmuso	mo-uso
di-kgwebo	di-kgwebo
ba-emedi	ba-emedi
ba	ba
ba-sebetsi	ba-sebetsi
le	le
ba-ahi	ba-ahi
ba	ba-
il-e	il-e
ba	ba-
dumel-l-an-a	dumel-l-an-a
ka	k-a
se-hlopha	se-hlopha
sa	sa
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
se-kgahla	se-kgahla
sa	sa
ma-emo	ma-emo
ana	ana
mabe	ma-be
mo-ruo	mo-ruo
Re	re
ken-ts-e	ken-ts-e
bo-ngata	bonngta
ba	ba
me-kgwa	me-kgwa
ena	en-a
n-tshebetso-ng	tshebetsong
Re	re
ken-tsh-e	ken-tsh-e
n-tshebetso-ng	tshebetsong
me-kgwa	me-kgwa
ma-tla	matla
n-kgahlano-ng	n-kgahlanong
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
Jwaloka	jwalok-a
mo-mmuso	mo-uso
ka	k-a
ho	ho
kgin-a	kgin-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	sa
ho	ho
bebo-fa-ts-a	bebofats-a
ma-thata	ma-thata
ba	ba
futsan-eh-il-e-ng	futsaneh-il-e-ng
re	re
potlak-is-its-e	potlak-is-its-e
ho	ho
nyoll-w-a	nyol-l-w-a
ha	ha
di-tjhelete	di-tjhelete
tsa	tsa
le-tlole	le-loole
la	la
thuso	n-thuso
la	la
tshehetso	tshehetso
ya	y-a
ba-na	ba-na
mme	moe
ra	ra
ekets-a	ekets-a
di-lemo	di-lemo
tsa	tsa
ba-na	ba-na
ba	ba-
lok-el-a-ng	lok-el-a-ng
ho	ho
fuman-a	fuman-a
tshehetso	tshehetso
ya	y-a
tjhelete	tjhelete
ya	y-a
thuso	n-thuso
ka	k-a
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
ba-na	ba-na
ba	ba-
di-lemo	di-lemo
tse	tse
ka	k-a
ho-dimo	ho-dimo
ho	ho
tse	tse
di-lemong	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tlang
ba-na	ba-na
ba	ba-
tlatsetso	n-ataetso
ba	ba-
di-milione	di-milione
tse	tse
pedi	pedi
ba	ba
tsw-a-ng	tswan-ng
ma-lape-ng	ma-lapeng
le	le
ma-tlo-ng	ma-tlong
futsan-eh-il-e-ng	fu-tsaneh-il-e-ng
ba	ba-
di-lemo	di-lemo
tse	tse
ho	ho
y-a	y-a
ho	ho
ba	ba
tla	tla
un-a	un-a
mo-lemo	mo-lemo
le-tlole-ng	le-tloleng
la	la
thuso	n-thuso
ya	y-a
tshehetso	tshehetso
ya	y-a
ba-na	ba-na
Koporasi	koporasi
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
Di-indaseteri	di-indaseteri
beh-el-ets-e	beh-el-ets-e
ka	k-a
thoko	n-thoko
di-bilione	di-bilione
tse	tse
tshel-e-ts-e-ng	tshel-ets-e-ng
tsa	tsa
di-ranta	di-ranta
ho	ho
thus-a	thus-a
di-khamphani	di-khamphani
tse	tse
tlokotsi-ng	tlokotsing
mo-Mmuso	mo-uso
tl-il-e	tl-il-e
ka	k-a
le-ano	le-ano
le	le
bits-w-a-ng	bits-w-a-ng
se-kema	se-kema
sa	sa
N-Thupello	n-thupello
se-bake-ng	ba-keng
sa	sa
ho	ho
f-a	f-a
ba-sebetsi	ba-sebetsi
n-ako	n-ako
ya	y-a
n-kwetliso	n-kwetliso
ho	ho
le	le
hore	hore
ba	ba
foko-ts-w-e	fokots-w-e
mo-sebetsi-ng	mosebetsing
Me-kutu	me-kutu
ena	en-a
il-e	il-e
ya	y-a
phaham-is-w-a	phaham-is-w-a
ke	ke
le-naneo	le-naneo
la	la
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
la	la
rona	ron-a
se-tjhaba	se-tjhaba
se	se
tla	tla
hopol-a	hopol--a
hore	hore
N-Puo-ng	n-puong
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ka	k-a
ke	ke
il-e	il-e
ka	k-a
tseb-is-a	tseb-is-a
hore	hore
le-naneo	le-naneo
le	le
eke-dits-w-e-ng	eked-its-w-e-ng
la	la
me-sebetsi	me-sebetsi
le	le
tla	tla
hlah-is-a	hlah-is-a
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
ka	k-a
Tshitwe	tshit-w-e
ena	en-a
ke	ke
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ho	ho
f-an-a	f-an-a
ka	k-a
me-nyetla	me-nyetla
ya	y-a
mo-sebetsi	mo-sebetsi
ho	ho
ba-tho	ba-tho
ba	ba-
sa	sa
sebets-e-ng	sebets-e-ng
hore	hore
ba	ba
b-e	be
le	le
le-keno	le-keno
la	la
tjhelete	tjhelete
le	le
hore	hore
ba	ba-
thol-e	thole
bo-iphihlelo	bo-iphihlelo
le	le
me-nyetla	me-nyetla
ya	y-a
N-Thupello	n-thupello
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-Aforika	ma-aforika
bo-rwa	borrwa
heso	heso
Re	re
thab-el-a	thab-el-a
ho	ho
tseb-is-a	tseb-is-a
hore	hore
ma-felo-ng	ma-felong
Tshitwe	tshit-w-e
re	re
hlah-is-its-e	hlah-is-its-e
me-nyetla	me-nyetla
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
seo	se-o
l-e-ng	le-ng
ya	y-a
seo	se-o
re	re
n-e-ng	neng
re	re
se	se
rer-il-e	rer-il-e
me-sebetsi	me-sebetsi
ena	en-a
di-karolo-ng	di-karolong
tse	tse
k-a-ng	kang
tsa	tsa
ho	ho
ah-a	ahaa
n-tlhokomelo-ng	n-tlhokomelong
tsa	tsa
ma-lapa	ma-lapa
le	le
tsa	tsa
ba-ahi	ba-ahi
le	le
di-porojeke-ng	di-porojekeng
tsa	tsa
n-tikoloho	n-tikoloho
Re	re
hlwa-il-e	hlwa-il-e
di-baka	di-baka
tse	tse
its-e-ng	i-ts-e-ng
tsa	tsa
ntlafatso	n-ntlafatso
tseo	tseo
re	re
tla	tla
sebets-an-a-ng	sebets-an-a-ng
le	le
tsona	tson-a
ho	ho
y-a	y-a
pele	pele
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
di-porojeke	di-porojeke
tse	tse
batl-a-ng	batl-a-ng
ba-sebetsi	ba-sebetsi
ba	ba-
bangata	bangata
Re	re
y-a	y-a
tseb-a	tseb-a
hore	hore
tsena	tsen-a
le	le
me-kutu	me-kutu
meng	me-g
di	di-
ke	ke
ke	ke
tsa	tsa
lw-an-tsh-an-a	lwanttsh-an-a
le	le
se-futho	se-futho
sa	sa
ikonomi	ikoonoi
putlam-e-ng	putlam-e-ng
Re	re
leboh-el-a	leboh-el-a
mo-ya	mo-ya
motle	motle
wa	waa
le-lapa	lel-a-a
bo-ahi	bo-ahi
le	le
mo-sebetsi	mo-sebetsi
wa	waa
bo-ithaopi	bo-ithaopi
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tho	ba-tho
ba	ba-
bangata	bangata
se-bake-ng	ba-keng
sa	sa
ho	ho
thus-a	thus-a
bao	ba-o
ba	ba
ke	ke
tlokotsi	tlokotsi
ena	en-a
hara	hara
di-nako	di-nako
tsena	tsen-a
tse	tse
bo-ima	bo-ima
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-tshwao	ma-tshwao
ikonomi	ikkonomi
bon-tsh-a	bon-tsh-a
hore	hore
re	re
batl-a	batl-a
re	re
bon-a	bo-na
Ntlafalo	n-tllafalo
ya	y-a
ma-emo	ma-emo
ma-emo	ma-emo
ikonomi	ikoonomi
ntla-fal-a	ntla-fal-a
Aforika	aforika
bo-rwa	bo-rwa
mme	mo-e
re	re
lebel-e-ts-e	lebel-e-ts-e
n-kgolo	n-kgolo
ya	y-a
mo-ruo	mo-ruo
ho	ho
y-a	y-a
pele	pele
di-palopalo	di-palopalo
tsa	tsa
ba-sebetsi	ba-sebetsi
tse	tse
lokoll-ots-w-e-ng	lokol-lo-ts-w-e-ng
ka	k-a
La-bobedi	labobedi
di	di
bon-tsh-a	bon-tsh-a
hore	hore
ha	ha
jwale	jwale
ikonomi	ikoonoi
hlah-is-a	hlah-is-a
me-sebetsi	me-sebetsi
ho	ho
fapan-a	f-pan-a
le	le
ho	ho
fokots-a	fokots-a
Le	le
ha	ha
ho	ho
l-e	le
jwalo	jwalo
sa	sa
l-e	le
kapele	n-kapele
haholo	haholo
hore	hore
re	re
ka	k-a
nete-fa-ts-a	nete-fa-ts-a
se-kgahla	se-kgahla
seo	se-o
ikonomi	ikkonomi
nyoloh-a-ng	nyoloh-a-ng
ka	k-a
sona	son-a
mo-Mmuso	mo-uso
le	le
ha	ha
ho	ho
l-e	le
jwalo	jwalo
ke	ke
ke	ke
wa	waa
hul-a	hul-a
me-kutu	me-kutu
ya	y-a
ona	ona
ya	y-a
tshehetso	tshehetso
Jwale	jwale
ke	ke
n-ako	n-ako
ya	y-a
ho	ho
ets-a	ets-a
mo-theo	mo-theo
se-bake-ng	ba-keng
sa	sa
n-kgolo	n-kgolo
ma-tla	matla
ho	ho
y-a	y-a
pele	pele
le	le
n-kgolo	n-kgolo
tla	tla
tswal-a	tswal-a
me-sebetsi	me-sebetsi
mengata	mengata
le-naneo	le-naneo
la	la
rona	ron-a
la	la
n-ako	n-ako
telele	telel-e
la	la
mo-theo	mo-theo
wa	waa
se-tjhaba	se-tjhaba
le	le
tla	tla
re	re
thus-a	thus-a
ho	ho
hol-a	hola
ka	k-a
potlako	n-potlako
N-Thuto	n-thuto
ya	y-a
rona	ron-a
le	le
ma-naneo	mananeo
bo-kgoni	bo-kgoni
di	di-
tla	tla
phaham-is-a	phaham-is-a
n-tlhahiso	n-tlhahiso
le	le
n-hlodisano	hlodisano
le-ano	le-ano
la	la
rona	ron-a
la	la
N-Tshebetso	tshebetso
ya	y-a
Indaseteri	indaseteri
le	le
ho	ho
tsepam-is-a	tsepam-is-a
ma-ikutlo	ma-ikutlo
ho	ho
me-sebetsi	me-sebetsi
bolok-eh-il-e-ng	bolok-eh-il-e-ng
ya	y-a
n-temo	n-temo
se-bake-ng	ba-keng
sa	sa
n-tikoloho	n-tikoloho
di	di-
tla	tla
ah-a	ahaa
di-ndaseteri	di-ndaseteri
tse	tse
ngata	ngata
le	le
tse	tse
ma-tla	matla
se-bake-ng	ba-keng
sa	sa
ho	ho
hohel-a	hohel-a
ba-sebetsi	ba-sebetsi
le-naneo	le-naneo
la	la
rona	ron-a
la	la
n-tshetsopele	ntshetsopele
ya	y-a
di-baka	di-baka
tsa	tsa
ma-hae	ma-hae
le	le
tla	tla
ntla-fa-ts-a	ntla-fa-ts-a
n-tlhahiso	n-tlhahiso
ya	y-a
ma-hae-ng	ma-haeng
le	le
ma-phelo	ma-phelo
ba-ahi	ba-ahi
ba	ba-
me-tse-ng	me-tseng
ya	y-a
ma-hae	ma-hae
Seo	se-o
l-e-ng	le-ng
sa	sa
bo-hlokwa	bohloo-w-a
ma-wale-ng	ma-waleng
rona	ron-a
ho	ho
hod-is-a	hod-is-a
le	le
ho	ho
tso-s-el-ets-a	tso-s-el-ets-a
mo-ruo	mo-ruo
ke	ke
le-naneo	le-naneo
la	la
rona	ron-a
la	la
ho	ho
tset-el-a	tsetel-a
me-aho-ng	me-ahong
di-lemong	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tlang
mo-mmuso	mo-uso
tla	tla
sebed-is-a	sebed-is-a
di-bilione	di-bilione
tse	tse
ho-dima	hod-ma-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	sa
di-palangwa-ng	di-palangwaang
re	re
tla	tla
bolok-a	bolok-a
me-bila	me-bila
ya	y-a
rona	ron-a
ma-emo-ng	ma-emong
matle	matle
le	le
ho	ho
at-olo-s-a	at-olo-s-a
ma-rangrang	ma-ra-nrang
di-tsela	di-tsela
tsa	tsa
rona	ron-a
Re	re
tla	tla
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ma-rangrang	ma-ra-nrang
rona	ron-a
se-poro	se-poro
sa	sa
terene	terene
ke	ke
tshep-ahal-a-ng	tshep-ahal-a-ng
ma-emo-ng	ma-emong
n-hlodisano	hlodisano
mme	moe
hok-ah-an-ts-w-e	hok-ah-an-ts-w-e
betere	betere
le	le
ma-emakepe	ma-emakepe
rona	ron-a
Ho	ho
nete-fa-ts-a	nete-fa-ts-a
n-phano	n-phano
tshep-ahal-a-ng	tshep-ahal-a-ng
ya	y-a
mo-tlakase	mo-tlakase
re	re
the-il-e	the-il-e
Komite	komite
ya	y-a
Kahare	kakahare
ya	y-a
ma-tona	ma-tona
sheb-an-e-ng	sheb-aneng
le	le
ma-tla	matla
mo-tlakase	mo-tlakase
ho	ho
hlab-oll-a	hlaboll-a
le-ano	le-ano
la	la
di-lemo	di-lemo
tse	tse
la	la
me-hlodi	me-hlodi
kopan-e-ts-w-e-ng	kopan-e-ts-w-e-ng
Hara	hara
tse	tse
ding	di-ng
sena	se-na
se	se
tla	tla
sheb-an-a	sheb-an-a
ho	ho
nk-a	nk-a
n-karolo	n-karolo
ha	ha
ba-hlahisi	ba-hlahisi
ba	ba
ik-em-e-ts-e-ng	i--em-e-ts-e-ng
ba	ba-
ma-tla	matla
mo-tlakase	mo-tlakase
le	le
ho	ho
tshir-el-ets-a	tshir-el-e-ts-a
ba-futsana	ba-futsana
n-kgahlano-ng	n-kgahlanong
le	le
di-tjeo	di-tjeo
tse	tse
phaham-e-ng	phaham-e-ng
tsa	tsa
mo-tlakase	mo-tlakase
Re	re
tla	tla
theh-a	theh-a
mo-hlahisi	mo-hlahisi
ya	y-a
ik-em-e-ts-e-ng	i--em-e-ts-e-ng
ya	y-a
se	se
n-a-ng	nang
n-kopano	n-popano
le	le
Eskom	e-kom
Eskom	e-kom
tla	tla
tsw-el-a- pele	tsw-el-pele
ho	ho
ah-a	ahaa
n-keketseho	n-keketseho
ya	y-a
ho	ho
fehl-a	fehla
mo-tlakase	mo-tlakase
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-paballo	n-paballo
ya	y-a
di-teishene	di-teishene
tsa	tsa
mo-tlakase	mo-tlakase
se-bake-ng	ba-keng
sa	sa
ho	ho
ntsh-ets-a-pele	n-tsetsapele
ikonomi	ikoonoi
ke-ny-el-ets-a-ng	kenny-el-ets-a-ng
ho	ho
thus-a	thus-a
n-kgolo	n-kgolo
le	le
n-tshetsopele	ntshetsopele
re	re
theh-il-e	theh-il-e
le-kgotla	lekggotla
la	la
ho	ho
Matla-fa-ts-a	matla-fa-ts-a
ba-tho	ba-tho
ba	ba-
batsho	ba-tsh
Ikonomi-ng	ikkonoming
ka	k-a
ho	ho
phatlall-a	phatlall-a
leo	le-o
mo-dulasetulo	mo-dulasetulo
wa	waa
lona	lona
l-e-ng	le-ng
mo-presidente	mo-presidente
Se	se
potlak-il-e-ng	potlak-il-e-ng
haholo	haholo
ke	ke
hore	hore
ho	ho
tsepam-is-w-e	tsepam-is-w-e
ma-ikutlo	ma-ikutlo
ho	ho
fetol-e-ng	fetol-e-ng
le-ano	le-ano
ka	k-a
ho	ho
ken-a	ken-a
ka	k-a
se-totswana	se-totswana
ho	ho
hlah-is-e-ng	hlah-is-e-ng
me-sebetsi	me-sebetsi
se-bake-ng	ba-keng
sa	sa
ba-tjha	batjha
se-kgahla	se-kgahla
sa	sa
ho	ho
hlok-a	hlok-a
mo-sebetsi	mo-sebetsi
ba-tjhe-ng	ba-tjheng
ba	ba-
rona	ron-a
se	se
ho-dimo	ho-dimo
haholo	haholo
ho	ho
n-palohare	paloha-r-e
di-tshisinyo	di-tshisinyo
di	di-
tla	tla
beh-w-a	beh-w-a
tafole-ng	n-fafoleng
se-bake-ng	ba-keng
sa	sa
ho	ho
tshehets-a	tshehets-a
ka	k-a
di-tjhelete	di-tjhelete
di-tjeo	di-tjeo
tsa	tsa
ho	ho
hir-a	hir-a
ba-sebetsi	ba-sebetsi
ba	ba-
batjha	batjha
di-lemo-ng	di-lemong
se-bake-ng	ba-keng
sa	sa
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
di-feme	di-feme
ho	ho
hir-a	hir-a
ba-tho	ba-tho
ba	ba
se	se
n-a-ng	nang
bo-iphihlelo	bo-iphihlelo
Ho	ho
le	le
ma-naneo	mananeo
mang	mang
n-katoloso	n-katoloso
ya	y-a
ho	ho
hir-w-a	hir-w-a
ha	ha
se-tjhaba	se-tjhaba
l-e-ng	le-ng
tsele-ng	tsel-e-ng
Sena	se-na
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
mo-theo	mo-theo
wa	waa
tsa	tsa
le-hae	le-hae
le	le
di-porojeke	di-porojeke
tsa	tsa
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
le	le
di-porejeke	di-porejeke
tsa	tsa
ho	ho
i-thut-a	i-thut-a
ho	ho
bal-a	bal-a
n-tlhokomelo	n-tlhokomelo
ya	y-a
le-lape-ng	la-peng
n-paballo	n-paballo
ya	y-a
di-kolo	di-kolo
le	le
me-rero	me-rero
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
ba-na	ba-na
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
theh-il-e	theh-il-e
bo-emedi	bo-emedi
ba	ba
N-aha	naha
n-tshetsopele-ng	n-tshetopeleng
ya	y-a
ba-tjha	batjha
Re	re
la-e-ts-e	la-ets-e
le-kala	lek-la
lena	le-na
ho	ho
sebets-a	sebets-a
ka	k-a
potlako	n-potlako
se-bake-ng	ba-keng
sa	sa
ho	ho
theh-a	theh-a
ma-kala	ma-kala
lona	lona
n-ahe-ng	n-ahng
ka	k-a
bo-phara	bo-phara
hore	hore
le	le
re	re
thus-e	thus-e
ho	ho
sebets-an-a	sebets-ana
le	le
ho	ho
pheth-aha-ts-a	pheth-aha-ts-a
ma-naneo	mananeo
n-tshetsopele	ntshetsopele
ya	y-a
ba-tjha	batjha
ka	k-a
hara	hara
mo-mmuso	mo-uso
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Ha	ha
mo-mmuso	mo-uso
ona	ona
n-e	ne
ken-a	ken-a
kantoro-ng	n-kantorong
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
i-tlam-m-e	i-tlam-m-e
ho	ho
men-aha-ny-a	me-nahanya
bo-ikitlaetso	bo-ikitlaetso
ba	ba
rona	ron-a
ba	ba
ho	ho
ah-a	aha
mo-mmuso	mo-uso
