la-oll-a	Laoll-a
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
ho	ho
leboh-a	le-boha
ho	ho
tloh-a	tloh-a
bo-tebo-ng	bo-tebong
ba	b-a
di-pelo	di-pelo
tsa	ts-a
rona	ron-a
ba	b-a
di-naha	di-naha
tsa	ts-a
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	s-a
tshehetso	tshehetso
ya	y-a
bona	bon-a
sa	s-a
thekes-el-e-ng	thekeseleng
n-twe-ng	nt-w-e-ng
ya	y-a
rona	ron-a
di-nako	di-nako
tsena	tsen-a
tsa	ts-a
histori	hirotsi
ya	y-a
rona	ron-a
di	di
bon-tsh-a	bon-tsh-a
bo-kgoni	bo-kgoni
ba	b-a
rona	ron-a
ba	b-a
ho	ho
i-pop-a	i-pop-a
le	le
ka	k-a
tlasa	tlas-a
ma-thata	ma-thata
maholo	ma-holo
le	le
ho	ho
beh-a	beh-a
di-tabatabelo	di-tababatleo
tsa	ts-a
n-aha	nah-a
ka	k-a
pele	pele
ho	ho
di-tabatabelo	di-tababatleo
tse	ts-e
ding	ding
tsohle	tshol-e
Ha	hao
re	re
sebets-a	sebets-a
mmoho	mo-mho
re	re
ka	k-a
ets-a	ets-a
haholwanyane	hahol-any-w-a-ng
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
se-lemo-ng	se-lemong
sena	se-an
se	se
ho-dimo	hodimo
re	re
tla	tl-a
tshway-a	tshway-a
di-lemo	di-lemo
tse	ts-e
le-kgolo	le-kgolo
tsa	ts-a
ho	ho
theh-w-a	theh-w-a
ha	ha
N-Kopano	K-Kopano
ya	y-a
Aforika	Aforika
bo-rwa	bo-rwa
theh-il-w-e-ng	theh-il-w-e-ng
ka	k-a
Sa	Sa
bo-hlokwa	bo-hlokwa
ke	ke
hore	hore
ho	ho
qhel-el-w-a	qhel-el-w-a
ka	k-a
thoko	n-thoko
ha	ha
ba-tho	ba-tho
ba	b-a
batsho	ba-tsho
N-Kopano-ng	K-opanong
ena	en-a
b-il-e	bil-e
le	le
leng	le-ng
la	l-a
ma-baka	ma-baka
maholo	ma-holo
hore	hore
mo-kgatlo	mo-kgatlo
wa	wa
theh-w-e	theh-w-e
ka	k-a
Ha	hao
re	re
tla	tl-a
b-e	be
re	re
tshway-a	tshway-a
di-lemo	di-lemo
tsena	tsen-a
tse	ts-e
le-kgolo	le-kgolo
se-lemo-ng	se-lemong
sena	se-an
re	re
lok-el-a	lok-el-a
ho	ho
thuh-is-a	hthus-i
le	le
ho	ho
hopol-a	hopol-a
tsela	tsel-a
eo	eo
re	re
tsama-il-e-ng	tsama-il-e-ng
jwaleka	Swakel-a
n-aha	nah-a
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
hopol-a	hopol-a
ma-ntswe	ma-ntswe
Madiba	ma-bida
ha	ha
n-e	ne
lokoll-w-a	lokol-l-w-a
ha	ha
n-e	ne
r-e	re
mme	mm-em
ke	ke
qots-a	qots-a
Ke	Fe
em-e	eme
ka	k-a
pele	pele
ho	ho
lona	lon-a
se-ng	se-ng
Jwaloka	n-kalwao
mo-porofeta	mo-porofeta
empa	me-pa
Jwaloka	n-kalwao
mo-sebeletsi	mo-sebeletsi
ya	y-a
i-kokobe-d-its-e-ng	kokodime-its-e-ng
wa	wa
lona	lon-a
se-tjhaba	se-tjhaba
bo-ikitlaetso	bo-ikitlaetso
ba	b-a
lona	lon-a
bo	bo
se	se
n-a-ng	n-a-ng
ho	ho
lekan-ng-w-a	lek-an-w-a-ng
ke	ke
bona	bon-a
bo	bo
e-nts-e-ng	en-ts-e-ng
hore	hore
ke	ke
b-e	be
mona	mo-na
kajeno	n-kaeno
Ha	hao
ho	ho
l-e	le
jwalo	n-walo
ke	ke
beh-a	beh-a
di-lemo	di-lemo
tse	ts-e
s-ets-e-ng	se-ts-e-ng
tsa	ts-a
ho	ho
phel-a	phel-a
ha	ha
ka	k-a
ma-tsoho-ng	ma-tsohong
lona	lon-a
ma-ntswe	ma-ntswe
ana	an-a
re	re
kgotha-ts-a	kgotha-ts-a
hore	hore
re	re
se	se
ke	ke
ra	ra
phomol-a	phomola
ho	ho
fihl-el-a	fihl-el-a
re	re
fihl-el-l-a	fihl-el-l-a
di-tabatabelo	di-tababatleo
tsa	ts-a
ho	ho
b-a	b-a
se-tjhaba	se-tjhaba
se	se
lokol-oh-il-e-ng	lo-kolohileng
bo-fume-ng	bo-fumeng
le	le
bo-hloki-ng	bo-hloking
di-lemong	di-lemong
tse	ts-e
ma-shome	mashome
mabedi	ma-bedi
sa	s-a
l-e	le
Madiba	ma-bida
lokoll-w-a	lokol-l-w-a
n-aha	nah-a
ya	y-a
rona	ron-a
feto-h-il-e	fetoh-il-e
haholo	haholo
mo-presidente	po-resisenetr
Mandela	ma-nela
kopan-ts-e	kopan-ts-e
n-aha	nah-a
ena	en-a
ka	k-a
se-pheo	se-pheo
sa	s-a
ho	ho
r-e	re
hlok-e	hlok-e
n-kgethollo	n-kgethollo
ka	k-a
bo-ng	bong
ka	k-a
bo-tjhaba	bo-tjhaba
mme	mm-em
b-e	be
n-aha	nah-a
ya	y-a
demokerasi	me-kerosadi
le	le
Aforika	Aforika
bo-rwa	bo-rwa
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
Kajeno	N-Kaneko
ha	ha
re	re
ketek-a	keketsa
n-tokoloho	n-tokoloho
ya	y-a
Madiba	ma-bida
ha	ha
re	re
i-tlam-e-ng	i-tlameng
hore	hore
re	re
tla	tl-a
ah-a	ah-a
bo-kamoso	bo-kamoso
bo	bo
betere	be-tere
se-bake-ng	ba-keng
sa	s-a
ma-Afrika	ma-Afrika
bo-rwa	bo-rwa
oohle	oohle
ba	b-a
batsho	ba-tsho
le	le
ba	b-a
Basweu	ba-sweu
Ha	hao
re	re
latel-l-e-ng	latel-l-e-ng
n-toro	n-toro
ena	en-a
ya	y-a
Madiba	ma-bida
ya	y-a
lw-an-e-ts-e-ng	lwane-ts-e-ng
bo-phelo	bo-phelo
ba	b-a
hae	hae
Bohle	bohle
n-toro	n-toro
ya	y-a
se-tjhaba	se-tjhaba
sa	s-a
demokerasi	me-kerosadi
se	se
lokol-oh-il-e-ng	lo-kolohileng
moo	mo-o
ba-tho	ba-tho
ba	b-a
phel-a-ng	phel-a-ng
mmoho	mo-mho
ka	k-a
n-kutlwano	n-kutlwano
le	le
me-nyetla	me-nyela
lek-an-a-ng	lek-an-a-ng
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
bits-its-e	bits-its-e
n-kopanelo	n-kopanelo
ena	en-a
ya	y-a
palamente	pamalenetso
bo-siu	bo-isi
hore	hore
bo-ngata	bo-ngata
ba	b-a
ba-tho	ba-tho
ka	k-a
n-ahe-ng	naheng
ba-sebetsi	ba-sebetsi
le	le
ba-na	ba-n-a
ba	b-a
di-kolo	di-kolo
b-e	be
n-karolo	n-karolo
ya	y-a
mo-rero	mo-rero
ona	on-a
Re	Re
kgahl-is-its-w-e	kgahl-is-its-w-e
ke	ke
mo-rolo	mo-rolo
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tjha	batjha
ka	k-a
mo-rero	mo-rero
ona	on-a
ba-na	Ban-a
ba	b-a
ba	b-a
tsw-a-ng	tsw-a-ng
di-provense-ng	di-provenseng
tsohle	tshol-e
ba	b-a
b-il-e	bil-e
teng	teng
di-ngangisano-ng	di-ngangisanong
tsa	ts-a
ma-ntlha	ma-ntlha
tse	ts-e
et-el-l-a-ng	et-el-l-a-ng
pele	pele
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	s-a
n-karolo	n-karolo
eo	eo
ba-tjha	batjha
ba	b-a
ka	k-a
bapal-a-ng	bapal-a-ng
n-twantsho-ng	tshantsong
ya	y-a
bo-fuma	bo-fuma
Re	Re
thoho-lets-a	thoho-lets-a
mo-hlodi	mo-hlodi
wa	wa
n-kakaretso	kakaretso
Charlotte	rahlothe
le	Le
Fleur	Le-rul
wa	wa
le	le
ba	b-a
nk-a	nk-a
n-karolo	n-karolo
bohle	bohle
se-bake-ng	ba-keng
sa	s-a
n-tshebetso	tshebetso
ma-tla	ma-tla
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Re	Re
kopan-a	kopan-a
ho	ho
ma-emo	ma-emo
thekes-el-a-ng	thekesel-a-ng
mo-ruo	mo-ruo
wa	wa
le-fatshe	lef-ah-ets-a
Ngwahola	N-Kgwahlo
re	re
b-il-e	bil-e
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
le-kgetlo	le-kgetlo
la	l-a
pele	pele
di-lemo-ng	di-lemong
tse	ts-e
ma-emo	ma-emo
ana	an-a
mabe	ma-be
mo-ruo	mo-ruo
e-nts-e	ents-e
hore	hore
re	re
lahl-eh-el-w-e	lahleh-el-w-e
ke	ke
me-sebetsi	me-sebetsi
bo-holo	bo-holo
ba	b-a
bao	bo-a
ba	b-a
lahl-eh-e-ts-w-e-ng	lahleh-ets-w-e-ng
ke	ke
me-sebetsi	me-sebetsi
n-e	ne
l-e	le
bona	bon-a
ba	b-a
j-er-e-ng	jereng
ma-lapa	ma-lapa
futsan-eh-il-e-ng	futsan-eh-il-e-ng
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
ka	k-a
Hlakola	Hlaokla
mo-mmuso	mm-uso
di-kgwebo	di-kgwebo
ba-emedi	ba-emedi
ba	b-a
ba-sebetsi	ba-sebetsi
le	le
ba-ahi	ba-ahi
ba	b-a
il-e	il-e
ba	b-a
dumel-l-an-a	dumel-l-an-a
ka	k-a
se-hlopha	se-hlopha
sa	s-a
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
se-kgahla	se-kgahla
sa	s-a
ma-emo	ma-emo
ana	an-a
mabe	ma-be
mo-ruo	mo-ruo
Re	Re
ken-ts-e	ken-ts-e
bo-ngata	bo-ngata
ba	b-a
me-kgwa	me-kgwa
ena	en-a
n-tshebetso-ng	tshebetsong
Re	Re
ken-tsh-e	ken-ts-e
n-tshebetso-ng	tshebetsong
me-kgwa	me-kgwa
ma-tla	ma-tla
n-kgahlano-ng	n-kgahlanong
le	le
ma-emo	ma-emo
mabe	ma-be
mo-ruo	mo-ruo
Jwaloka	n-kalwao
mo-mmuso	mm-uso
ka	k-a
ho	ho
kgin-a	kgin-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	s-a
ho	ho
bebo-fa-ts-a	bo-befasato
ma-thata	ma-thata
ba	b-a
futsan-eh-il-e-ng	futsan-eh-il-e-ng
re	re
potlak-is-its-e	potlak-is-its-e
ho	ho
nyoll-w-a	nyol-l-w-a
ha	ha
di-tjhelete	di-tjheele
tsa	ts-a
le-tlole	le-tlole
la	l-a
thuso	n-thuso
la	l-a
tshehetso	tshehetso
ya	y-a
ba-na	ba-n-a
mme	mm-em
ra	ra
ekets-a	ekets-a
di-lemo	di-lemo
tsa	ts-a
ba-na	ba-n-a
ba	b-a
lok-el-a-ng	lok-el-a-ng
ho	ho
fuman-a	fuman-a
tshehetso	tshehetso
ya	y-a
tjhelete	tjhe-el-e
ya	y-a
thuso	n-thuso
ka	k-a
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
ba-na	ba-n-a
ba	b-a
di-lemo	di-lemo
tse	ts-e
ka	k-a
ho-dimo	hodimo
ho	ho
tse	ts-e
di-lemong	di-lemong
tse	ts-e
tharo	tharo
tse	ts-e
tl-a-ng	tl-a-ng
ba-na	ba-n-a
ba	b-a
tlatsetso	tlats-etso
ba	b-a
di-milione	di-milione
tse	ts-e
pedi	pedi
ba	b-a
tsw-a-ng	tsw-a-ng
ma-lape-ng	ma-lapeng
le	le
ma-tlo-ng	ma-tlong
futsan-eh-il-e-ng	futsan-eh-il-e-ng
ba	b-a
di-lemo	di-lemo
tse	ts-e
ho	ho
y-a	y-a
ho	ho
ba	b-a
tla	tl-a
un-a	un-a
mo-lemo	mo-lemo
le-tlole-ng	le-tloleng
la	l-a
thuso	n-thuso
ya	y-a
tshehetso	tshehetso
ya	y-a
ba-na	ba-n-a
Koporasi	Koporasi
ya	y-a
n-tshetsopele	tshetsopele
ya	y-a
Di-indaseteri	di-inasedite
beh-el-ets-e	behel-ets-e
ka	k-a
thoko	n-thoko
di-bilione	di-bilione
tse	ts-e
tshel-e-ts-e-ng	tsheletseng
tsa	ts-a
di-ranta	di-ratan
ho	ho
thus-a	thus-a
di-khamphani	di-khamphami
tse	ts-e
tlokotsi-ng	n-tlokotsing
mo-Mmuso	mo-sumo
tl-il-e	tl-il-e
ka	k-a
le-ano	le-ano
le	le
bits-w-a-ng	bits-w-a-ng
se-kema	se-kema
sa	s-a
N-Thupello	n-thupello
se-bake-ng	ba-keng
sa	s-a
ho	ho
f-a	f-a
ba-sebetsi	ba-sebetsi
n-ako	n-kao
ya	y-a
n-kwetliso	n-kwetliso
ho	ho
le	le
hore	hore
ba	b-a
foko-ts-w-e	fokots-w-e
mo-sebetsi-ng	mo-sebetsing
Me-kutu	me-kutu
ena	en-a
il-e	il-e
ya	y-a
phaham-is-w-a	phaham-is-w-a
ke	ke
le-naneo	le-naneo
la	l-a
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
la	l-a
rona	ron-a
se-tjhaba	se-tjhaba
se	se
tla	tl-a
hopol-a	hopol-a
hore	hore
N-Puo-ng	N-Puong
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ka	k-a
ke	ke
il-e	il-e
ka	k-a
tseb-is-a	tseb-is-a
hore	hore
le-naneo	le-naneo
le	le
eke-dits-w-e-ng	ked-is-w-ets-e
la	l-a
me-sebetsi	me-sebetsi
le	le
tla	tl-a
hlah-is-a	hlah-is-a
me-nyetla	me-nyela
ya	y-a
me-sebetsi	me-sebetsi
ka	k-a
Tshitwe	Tshitswe
ena	E-n-a
ke	ke
me-nyetla	me-nyela
ya	y-a
me-sebetsi	me-sebetsi
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ho	ho
f-an-a	fan-a
ka	k-a
me-nyetla	me-nyela
ya	y-a
mo-sebetsi	mo-sebetsi
ho	ho
ba-tho	ba-tho
ba	b-a
sa	s-a
sebets-e-ng	sebets-e-ng
hore	hore
ba	b-a
b-e	be
le	le
le-keno	le-keno
la	l-a
tjhelete	tjhe-el-e
le	le
hore	hore
ba	b-a
thol-e	thol-e
bo-iphihlelo	bo-iphihlelo
le	le
me-nyetla	me-nyela
ya	y-a
N-Thupello	n-thupello
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
heso	heso
Re	Re
thab-el-a	thab-el-a
ho	ho
tseb-is-a	tseb-is-a
hore	hore
ma-felo-ng	ma-felong
Tshitwe	Tshitswe
re	re
hlah-is-its-e	hlah-is-its-e
me-nyetla	me-nyela
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
me-sebetsi	me-sebetsi
ya	y-a
se-tjhaba	se-tjhaba
seo	se-o
l-e-ng	le-ng
ya	y-a
seo	se-o
re	re
n-e-ng	nne
re	re
se	se
rer-il-e	rer-il-e
me-sebetsi	me-sebetsi
ena	en-a
di-karolo-ng	di-karolong
tse	ts-e
k-a-ng	k-a-ng
tsa	ts-a
ho	ho
ah-a	ah-a
n-tlhokomelo-ng	n-tlhokomelong
tsa	ts-a
ma-lapa	ma-lapa
le	le
tsa	ts-a
ba-ahi	ba-ahi
le	le
di-porojeke-ng	di-porojekeng
tsa	ts-a
n-tikoloho	n-tikoloho
Re	Re
hlwa-il-e	hlwa-il-e
di-baka	di-baka
tse	ts-e
its-e-ng	i-ts-e-ng
tsa	ts-a
ntlafatso	n-tlafatso
tseo	tseo
re	re
tla	tl-a
sebets-an-a-ng	sebets-an-a-ng
le	le
tsona	tson-a
ho	ho
y-a	y-a
pele	pele
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
di-porojeke	di-porojeke
tse	ts-e
batl-a-ng	batl-a-ng
ba-sebetsi	ba-sebetsi
ba	b-a
bangata	ba-ngata
Re	Re
y-a	y-a
tseb-a	tseb-a
hore	hore
tsena	tsen-a
le	le
me-kutu	me-kutu
meng	meng
di	di
ke	ke
ke	ke
tsa	ts-a
lw-an-tsh-an-a	lwantshana
le	le
se-futho	se-futho
sa	s-a
ikonomi	n-komino
putlam-e-ng	putlam-e-ng
Re	Re
leboh-el-a	lebohel-a
mo-ya	mo-ya
motle	mo-tle
wa	wa
le-lapa	le-lapa
bo-ahi	bo-ahi
le	le
mo-sebetsi	mo-sebetsi
wa	wa
bo-ithaopi	bo-ithapoi
bon-tsh-its-w-e-ng	bon-tsh-its-w-e-ng
ke	ke
ba-tho	ba-tho
ba	b-a
bangata	ba-ngata
se-bake-ng	ba-keng
sa	s-a
ho	ho
thus-a	thus-a
bao	bo-a
ba	b-a
ke	ke
tlokotsi	n-tlokotsi
ena	en-a
hara	har-a
di-nako	di-nako
tsena	tsen-a
tse	ts-e
bo-ima	bo-ima
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
ma-tshwao	ma-tshwa
ikonomi	n-komino
bon-tsh-a	bon-tsh-a
hore	hore
re	re
batl-a	batl-a
re	re
bon-a	bon-a
Ntlafalo	n-tlalafo
ya	y-a
ma-emo	ma-emo
ma-emo	ma-emo
ikonomi	n-komino
ntla-fal-a	ntla-fal-a
Aforika	Aforika
bo-rwa	bo-rwa
mme	mm-em
re	re
lebel-e-ts-e	lebel-ets-e
n-kgolo	n-kgolo
ya	y-a
mo-ruo	mo-ruo
ho	ho
y-a	y-a
pele	pele
di-palopalo	di-papolalo
tsa	ts-a
ba-sebetsi	ba-sebetsi
tse	ts-e
lokoll-ots-w-e-ng	lokolol-its-w-e-ng
ka	k-a
La-bobedi	ba-boledi
di	di
bon-tsh-a	bon-tsh-a
hore	hore
ha	ha
jwale	wal-e
ikonomi	n-komino
hlah-is-a	hlah-is-a
me-sebetsi	me-sebetsi
ho	ho
fapan-a	fapan-a
le	le
ho	ho
fokots-a	fokots-a
Le	Le
ha	ha
ho	ho
l-e	le
jwalo	n-walo
sa	s-a
l-e	le
kapele	n-kapele
haholo	haholo
hore	hore
re	re
ka	k-a
nete-fa-ts-a	nete-fa-ts-a
se-kgahla	se-kgahla
seo	se-o
ikonomi	n-komino
nyoloh-a-ng	nyoloh-a-ng
ka	k-a
sona	son-a
mo-Mmuso	mo-sumo
le	le
ha	ha
ho	ho
l-e	le
jwalo	n-walo
ke	ke
ke	ke
wa	wa
hul-a	hul-a
me-kutu	me-kutu
ya	y-a
ona	on-a
ya	y-a
tshehetso	tshehetso
Jwale	Jwale
ke	ke
n-ako	n-kao
ya	y-a
ho	ho
ets-a	ets-a
mo-theo	mo-theo
se-bake-ng	ba-keng
sa	s-a
n-kgolo	n-kgolo
ma-tla	ma-tla
ho	ho
y-a	y-a
pele	pele
le	le
n-kgolo	n-kgolo
tla	tl-a
tswal-a	tswal-a
me-sebetsi	me-sebetsi
mengata	me-ngata
le-naneo	le-naneo
la	l-a
rona	ron-a
la	l-a
n-ako	n-kao
telele	te-el-l-e
la	l-a
mo-theo	mo-theo
wa	wa
se-tjhaba	se-tjhaba
le	le
tla	tl-a
re	re
thus-a	thus-a
ho	ho
hol-a	hol-a
ka	k-a
potlako	n-potlako
N-Thuto	N-thuto
ya	y-a
rona	ron-a
le	le
ma-naneo	ma-naneo
bo-kgoni	bo-kgoni
di	di
tla	tl-a
phaham-is-a	phaham-is-a
n-tlhahiso	n-tlhahiso
le	le
n-hlodisano	hlodisano
le-ano	le-ano
la	l-a
rona	ron-a
la	l-a
N-Tshebetso	N-Tshebetso
ya	y-a
Indaseteri	Insadeteri
le	le
ho	ho
tsepam-is-a	tsepam-is-a
ma-ikutlo	ma-ikutlo
ho	ho
me-sebetsi	me-sebetsi
bolok-eh-il-e-ng	bo-lokeheling
ya	y-a
n-temo	n-temo
se-bake-ng	ba-keng
sa	s-a
n-tikoloho	n-tikoloho
di	di
tla	tl-a
ah-a	ah-a
di-ndaseteri	di-nsaedetri
tse	ts-e
ngata	ngata
le	le
tse	ts-e
ma-tla	ma-tla
se-bake-ng	ba-keng
sa	s-a
ho	ho
hohel-a	hohel-a
ba-sebetsi	ba-sebetsi
le-naneo	le-naneo
la	l-a
rona	ron-a
la	l-a
n-tshetsopele	ntshetsopele
ya	y-a
di-baka	di-baka
tsa	ts-a
ma-hae	ma-hae
le	le
tla	tl-a
ntla-fa-ts-a	ntla-fa-ts-a
n-tlhahiso	n-tlhahiso
ya	y-a
ma-hae-ng	ma-haeng
le	le
ma-phelo	ma-phelo
ba-ahi	ba-ahi
ba	b-a
me-tse-ng	me-tseng
ya	y-a
ma-hae	ma-hae
Seo	se-o
l-e-ng	le-ng
sa	s-a
bo-hlokwa	bo-hlokwa
ma-wale-ng	ma-waleng
rona	ron-a
ho	ho
hod-is-a	hodisa
le	le
ho	ho
tso-s-el-ets-a	tso-es-el-a-ts
mo-ruo	mo-ruo
ke	ke
le-naneo	le-naneo
la	l-a
rona	ron-a
la	l-a
ho	ho
tset-el-a	tsetel-a
me-aho-ng	me-haong
di-lemong	di-lemong
tse	ts-e
tharo	tharo
tse	ts-e
tl-a-ng	tl-a-ng
mo-mmuso	mm-uso
tla	tl-a
sebed-is-a	sebed-is-a
di-bilione	di-bilione
tse	ts-e
ho-dima	homida
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
se-bake-ng	ba-keng
sa	s-a
di-palangwa-ng	di-palangwang
re	re
tla	tl-a
bolok-a	bo-loka
me-bila	me-bila
ya	y-a
rona	ron-a
ma-emo-ng	ma-emong
matle	ma-tle
le	le
ho	ho
at-olo-s-a	atolo-s-a
ma-rangrang	ma-rarang
di-tsela	di-tsela
tsa	ts-a
rona	ron-a
Re	Re
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ma-rangrang	ma-rarang
rona	ron-a
se-poro	se-poro
sa	s-a
terene	terene
ke	ke
tshep-ahal-a-ng	tshep-ahal-a-ng
ma-emo-ng	ma-emong
n-hlodisano	hlodisano
mme	mm-em
hok-ah-an-ts-w-e	hok-aha-ts-w-e-ng
betere	be-tere
le	le
ma-emakepe	ma-mekaepe
rona	ron-a
Ho	oho
nete-fa-ts-a	nete-fa-ts-a
n-phano	n-phano
tshep-ahal-a-ng	tshep-ahal-a-ng
ya	y-a
mo-tlakase	mo-tlakase
re	re
the-il-e	theil-e
Komite	Komite
ya	y-a
Kahare	Kahare
ya	y-a
ma-tona	ma-tona
sheb-an-e-ng	sheb-an-e-ng
le	le
ma-tla	ma-tla
mo-tlakase	mo-tlakase
ho	ho
hlab-oll-a	hlaboll-a
le-ano	le-ano
la	l-a
di-lemo	di-lemo
tse	ts-e
la	l-a
me-hlodi	mehlodi
kopan-e-ts-w-e-ng	kopan-e-ts-w-e-ng
Hara	Aar-a
tse	ts-e
ding	ding
sena	se-an
se	se
tla	tl-a
sheb-an-a	sheb-an-a
ho	ho
nk-a	nk-a
n-karolo	n-karolo
ha	ha
ba-hlahisi	ba-hlahisi
ba	b-a
ik-em-e-ts-e-ng	ik-em-e-ts-e-ng
ba	b-a
ma-tla	ma-tla
mo-tlakase	mo-tlakase
le	le
ho	ho
tshir-el-ets-a	tshirel-ets-a
ba-futsana	ba-futsana
n-kgahlano-ng	n-kgahlanong
le	le
di-tjeo	di-tejo
tse	ts-e
phaham-e-ng	phaham-e-ng
tsa	ts-a
mo-tlakase	mo-tlakase
Re	Re
tla	tl-a
theh-a	theh-a
mo-hlahisi	mo-hlahisi
ya	y-a
ik-em-e-ts-e-ng	ik-em-e-ts-e-ng
ya	y-a
se	se
n-a-ng	n-a-ng
n-kopano	n-kopano
le	le
Eskom	Esoko
Eskom	Esoko
tla	tl-a
tsw-el-a-pele	tswael-el-e
ho	ho
ah-a	ah-a
n-keketseho	n-keketseho
ya	y-a
ho	ho
fehl-a	fehl-a
mo-tlakase	mo-tlakase
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-paballo	n-paballo
ya	y-a
di-teishene	di-teishene
tsa	ts-a
mo-tlakase	mo-tlakase
se-bake-ng	ba-keng
sa	s-a
ho	ho
ntsh-ets-a-pele	ntsh-ets-ep-al-e
ikonomi	n-komino
ke-ny-el-ets-a-ng	ke-ny-el-ets-a-ng
ho	ho
thus-a	thus-a
n-kgolo	n-kgolo
le	le
n-tshetsopele	ntshetsopele
re	re
theh-il-e	theh-il-e
le-kgotla	le-kgotla
la	l-a
ho	ho
Matla-fa-ts-a	ma-tlafatsa
ba-tho	ba-tho
ba	b-a
batsho	ba-tsho
Ikonomi-ng	konominong
ka	k-a
ho	ho
phatlall-a	Phatlal-l-a
leo	leo
mo-dulasetulo	mo-dumaleladi
wa	wa
lona	lon-a
l-e-ng	le-ng
mo-presidente	po-resisenetr
Se	se
potlak-il-e-ng	n-potlak-il-e-ng
haholo	haholo
ke	ke
hore	hore
ho	ho
tsepam-is-w-e	tsep-am-is-w-e
ma-ikutlo	ma-ikutlo
ho	ho
fetol-e-ng	fetol-e-ng
le-ano	le-ano
ka	k-a
ho	ho
ken-a	ken-a
ka	k-a
se-totswana	se-tsotwana
ho	ho
hlah-is-e-ng	hlah-is-e-ng
me-sebetsi	me-sebetsi
se-bake-ng	ba-keng
sa	s-a
ba-tjha	batjha
se-kgahla	se-kgahla
sa	s-a
ho	ho
hlok-a	hlok-a
mo-sebetsi	mo-sebetsi
ba-tjhe-ng	batjh-e-ng
ba	b-a
rona	ron-a
se	se
ho-dimo	hodimo
haholo	haholo
ho	ho
n-palohare	n-palahore
di-tshisinyo	di-tshisinyo
di	di
tla	tl-a
beh-w-a	beh-w-a
tafole-ng	n-tafoleng
se-bake-ng	ba-keng
sa	s-a
ho	ho
tshehets-a	tshehets-a
ka	k-a
di-tjhelete	di-tjheele
di-tjeo	di-tejo
tsa	ts-a
ho	ho
hir-a	hira
ba-sebetsi	ba-sebetsi
ba	b-a
batjha	batjha
di-lemo-ng	di-lemong
se-bake-ng	ba-keng
sa	s-a
ho	ho
kgothal-e-ts-a	kgotha-l-ets-a
di-feme	di-feme
ho	ho
hir-a	hira
ba-tho	ba-tho
ba	b-a
se	se
n-a-ng	n-a-ng
bo-iphihlelo	bo-iphihlelo
Ho	oho
le	le
ma-naneo	ma-naneo
mang	ma-ng
n-katoloso	n-katoloso
ya	y-a
ho	ho
hir-w-a	hir-w-a
ha	ha
se-tjhaba	se-tjhaba
l-e-ng	le-ng
tsele-ng	tse-l-e-ng
Sena	se-an
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
mo-theo	mo-theo
wa	wa
tsa	ts-a
le-hae	le-hae
le	le
di-porojeke	di-porojeke
tsa	ts-a
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
le	le
di-porejeke	di-porejeke
tsa	ts-a
ho	ho
i-thut-a	i-thut-a
ho	ho
bal-a	bal-a
n-tlhokomelo	n-tlhokomelo
ya	y-a
le-lape-ng	lapeng
n-paballo	n-paballo
ya	y-a
di-kolo	di-kolo
le	le
me-rero	me-rero
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
ba-na	ba-n-a
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
theh-il-e	theh-il-e
bo-emedi	bo-emedi
ba	b-a
N-aha	Nah-a
n-tshetsopele-ng	tshetsopeletso
ya	y-a
