li-fuman-e	li-fum-an-e
ama-bili	a-ma-bili
ku-sukel-a	ku-ku-sel-a
u-m-adiba	u-ma-diba
a-tjhatjhululw-a	a-tjhutjhul-w-a
i-tjhuguluke	i-tjhuguluke
khulu	khulu
u-m-and-el-a	u-ma-dlena
wa-bumb-a	wa-u-bu-mba
le	le
nga-i-rhuluphelo	nga-i-phehlululo
l-e-sewula	le-i-seluwa
e-nga-bandlulul-i	e-nga-ba-dlulundle
nga-u-bu-lili	nga-u-bu-lili
n-angobuhlang-a	na-nga-bu-hlungab-a
kodwana	kwa-u-du-an-a
ku-b-e	ku-b-e
e-phumelel-ako	e-i-phumeleleko
ya-i-n-thando	ya-i-n-ntando
ya-en-nengi	ya-en-nge
n-jengalokh-a	njenga-lokha
si-giding-a	si-gi-ding-a
ku-kamadiba	ku-ka-a-ma-diba
na-mhlanjesi	na-a-ma-hlengisi
a-s-iziboph-elel-e	a-si-bi-phezolel-e
u-ku-akhel-a	u-ku-akhel-a
i-ku-sas-a	i-ku-sas-a
eli-hle	e-li-hle
aba-nzima	aba-nazi
na-bamhlophe	na-a-ma-bhlophe
a-si-landel-e	a-si-al-el-an-ile
i-rhuluphelo	i-phululekho
ela-lw-elw-a	e-lawel-w-a
ng-umadib-a	nga-u-ma-diba
u-bu-philo	u-bu-philo
ba-khe	ba-kh-e
ba-o-ke	bo-ke
i-rhuluphelo	i-phululekho
ya-u-mu-phakathi	y-o-i-m-phakathi
wa-i-n-thando	wa-i-n-ntado
ya-en-nengi	ya-en-nge
na-u-khululekileko	na-u-ku-hluk-el-el-w-a
lapha	la-ph-a
bo-ke	bo-ke
a-ba-ntu	a-ba-ntu
ba-hlal-a	ba-hlal-a
nga-u-ku-thul-a	nga-u-ku-thul-a
b-a-namathuba	ba-na-a-ma-thuba
a-lingan-ako	a-lingan-ako
si-biz-e	si-biz-e
u-ku-hlal-a	u-ku-hlal-a
nga-u-ku-hlanganyel-a	nga-u-ku-hlanganyel-a
e-i-n-tambama	e-na-matbama
ngombana	nga-u-mu-bana
si-fun-a	si-fun-a
bonyana	ba-u-n-nya-a
in-nengi	i-ni-nge
la-a-ba-ntu	la-a-ba-ntu
e-narh-eni	e-i-n-ahrani
a-ba-sebenzi	aba-sebenz-i
b-e-sikolo	b-e-sikolo
ba-b-eyingceny-e	ba-benyengis-e
y-o-i-m-nyanya	ya-u-mu-nyana
lo	lo
si-ya-wathab-el-a	si-ya-thab-el-w-a
a-ma-jadu	a-ma-jadu
a-tjengisw-e	a-tjengisw-e
l-ilutjh-a	li-lutjh-a
ng-omnyany-a	nga-u-mu-nyanga
lo	lo
a-be-e-nt-w-an-a	a-bentw-an-a
a-ba-makhulu	aba-ma-khulu
ama-bili	a-ma-bili
na-i-si-thandathu	na-i-si-thanthadu
aba-suk-a	a-ba-suk-a
k-izozok-e	za-u-ku-ziko
i-i-m-funda	i-mi-funda
ba-zi-bandakany-e	ba-zi-bandakany-e
ku-ku-lumopikiswano	ku-ku-lomipuliswako
e-ya-n-dul-el-a	e-ya-dul-el-an-a
u-kwethul-w-a	u-ku-ethul-w-a
kw-e-ku-lumo	kw-e-kulumo
nga-i-n-ndima	nga-i-n-ndami
e-i-pini	e-i-li-pi-ni
na-u-m-tlhago	na-u-mu-thlago
si-thokoz-is-a	si-thokozisa
u-mu-fundi	u-mu-fundi
o-babeth-e	oba-beth-e
e-i-hloko	e-i-hloko
u-charlotte	u-rathorel
le	le
s-e-sekhondari	s-e-ekhosandi
na-bobok-e	na-boboko
aba-ngenel-e	aba-ngen-el-e
i-pha-liswaneli	i-phalas-il-w-en-i
nga-u-ku-sebenz-a	nga-u-ku-sebenz-a
b-a-kwethu	ba-ku-th-w-e
na-bang-a-ni	na-a-ba-ngani
si-hlangan-ile	si-hlangan-el-e
nga-pha-si	nga-phasi
b-okufadalal-a	ba-u-ku-dabal-al-a
kwa-u-mu-notho	kwa-u-mu-notho
e-pha-s-ini	e-phas-ini
u-nyaka	u-nyaka
sa-thoman-a	sa-thom-an-a
na-u-ku-ehl-a	na-u-ku-eh-al-a
kwa-a-ma-andla	kwa-a-ma-andla
wa-u-mu-notho	wa-u-mu-notho
nga-i-m-va	nga-i-n-vama
kwa-i-mi-nyaka	kwa-i-mi-nyaka
u-ku-fadalala	u-ku-dad-al-al-a
kwa-u-mu-notho	kwa-u-mu-notho
wa-ithu	wa-i-thu
k-wenz-a	ku-enz-a
ba-oni-ana	ba-u-n-nya-a
ku-lahlek-e	ku-hlak-el-e
i-mi-sebenzi	i-mi-sebenzi
e-ngi-ab-a	enga-b-a
in-nengi	i-n-ngeni
la-i-labo	la-balo
a-ba-lahlekelw-a	aba-la-hlekel-w-a
mi-sebenzi	mu-siebenzi
ba-a-ba-ntu	ba-a-bu-nta
a-b-ondl-ako	aba-nodlok-a
nga-i-khaya	nga-i-li-khaya
ku-mhlolanja	ku-hlombal-an-a
wa-u-lu-nyaka	wa-u-ny-aka
a-a-ma-bubulo	a-ma-bubulo
a-ba-sebenzi	aba-sebenz-i
na-u-mu-phakathi	na-u-mu-phakathi
ba-vumeli-ana	ba-vumel-an-a
wa-u-ku-ehlis-a	wa-u-ku-ehl-is-a
i-zinga	i-zi-nga
lo-i-budisi	la-u-bu-disi
in-nengi	i-n-ngeni
la-i-m-agadango	l-a-magagado
la	la
si-ya-wa-sebenz-is-a	si-ya-sebenz-is-w-a
si-thom-e	si-thom-e
u-ku-sebenzis-a	u-ku-sebenz-is-a
i-n-dlela	i-ndlel-a
e-na-a-ma-ndla	e-na-a-ma-ndla
e-lw-a	el-w-a
na-u-ku-ehl-a	na-u-ku-eh-al-a
kwa-u-mu-notho	kwa-u-mu-notho
kw-e-emali	kwa-i-n-male
ku-mthangalasisekelo	ku-mu-thangales-akel-is-a
u-ku-enzel-a	u-ku-enz-el-a
u-bu-lula	u-bu-lul-a
si-ngezelel-e	si-nga-ez-el-el-e
i-si-khathi	i-si-khathi
s-o-i-kukhulisa	sa-u-ku-khul-is-a
i-mali	i-li-ma
s-a-bentwana	s-e-bantwan-a
sa-dlulisel-a	sa-dlul-is-el-a
i-si-bonelelwesi	i-si-bolenel-eni
e-ba-nt-w-an-e-ni	e-ba-ntwan-eni
aba-na-i-mi-nyaka	aba-ni-enikamba
e-ngi-ehl-a	e-nga-li-hla
kw-e-li14	kwa-i-li-fili
e-i-mi-nyaka-ini	e-i-mi-nyako-ini
a-emi-thathu	e-mathuth-i
e-z-ako	e-zako
a-be-e-nt-w-an-a	a-bentw-an-a
a-ba-zi-ingidi	a-ba-zinidini
ezin-bili	ezi-mi-bili
aba-vel-a	a-ba-vel-a
e-i-mi-ndeni-ini	e-i-mi-ndeni-ini
ba-i-mi-nyaka	ba-i-mi-nyaka
u-ku-y-a	u-ku-y-a
b-azakuzuz-a	ba-zaku-zuz-a
e-i-n-mali-ini	e-ma-li-ini
s-a-bentwana	s-e-bantwan-a
i-hlangano	i-hlangano
e-thuthukis-a	e-thuthuk-is-a
a-a-ma-bubulo	a-ma-bumbulo
i-bekel-e	i-bek-el-e
nga-hlany-e	nga-hlany-e
e-izir6	e-zi-ri
u-ku-siz-a	u-ku-siz-a
i-i-n-kampani	i-i-ka-manisa
e-zi-sebudis-ini	e-zi-si-bund-is-e-ini
u-rhulumende	u-humulendeli
w-ethul-a	wa-i-li-thula
i-hlelo	i-hlelo
la-u-ku-bandul-a	la-u-ku-bandla
a-baphelel-w-e	aba-phel-el-w-e
mu-sebenzi	sa-u-mi-benzi
u-ku-nikel-a	u-ku-nik-el-a
a-ba-sebenzi	aba-sebenz-i
i-thuba	i-thub-a
la-i-si-khathi	la-i-si-khathi
s-okubandulw-a	sa-u-ku-bandul-w-a
ku-nokurhirizwa	ku-noku-rifakhiw-i
i-mi-zamo	i-mi-zamo
le	le
i-thuthukis-w-a	i-thuthuk-is-w-a
la-ithu	lethu
l-e-ze-misebenzi	le-i-zi-masebenzi
ya-u-mu-buso	ya-u-mu-buso
si-zakukhumbul-a	si-zaku-khumul-a
bonyana	ba-u-n-nya-a
e-i-kulumeni	e-u-ku-lum-a-ini
y-o-i-n-yaka	ya-u-ny-aka
nga-memezel-a	nga-mamezele
ba-oni-ana	ba-u-n-nya-a
i-hlelo	i-hlelo
e-i-landisiweko	e-i-lindakesiwo
la-i-mi-sebenzi	la-i-mi-sebenzi
li-zakuvez-a	li-zaku-vez-a
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
e-ima500	e-ma-50%
ku-nobayeni	ku-ona-bu-yeni
e-nyak-eni	e-na-nyek-i
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
la	la
a-vezw-a	a-vez-w-a
wa-u-ku-siz-a	wa-u-ku-siz-a
a-ba-ntu	a-ba-ntu
u-ku-thol-a	u-ku-thol-a
la-u-mu-sebenzi	la-u-mu-sebenzi
na-a-ma-thuba	na-a-ma-thuba
w-okubandulw-a	wa-u-ku-bandul-w-a
za-khamuzi	za-a-ka-mhizi
ku-lithabo	ku-lithabo
ki-thi	ki-th-i
u-ku-memezel-a	u-ku-memez-el-a
ba-oni-ana	ba-u-n-nya-a
e-u-ku-phel-a-ini	e-u-ku-phel-a-ini
ku-kanobayeni	ku-konabanye
bes-el-e	be-si-el-e
si-vez-e	si-vez-e
a-ma-thuba	a-ma-thuba
wa-i-mi-sebenzi	wa-i-mi-sebenzi
ya-u-mu-buso	ya-u-mu-buso
a-dlul-a	a-dlul-a
a-ma-480	a-ma-2%
e-kumaphesent-e	e-u-ku-phames-el-a-ini
a-ma-97%	a-ma-2%
w-e-sibalo	wa-i-si-balo
si-si-nqophil-e	si-si-phondile
i-mi-sebenzi	i-mi-sebenzi
le	le
i-semikhakheni	i-si-khemakh-ini
e-njenga-i-yokwakha	e-ngengaku-jelak-w-a
a-ma-hlelo	a-ma-hlelo
w-e-tjhejo	w-e-tjhejjo
l-e-makhaya	la-i-mi-khaya
na-i-lemphakathini	na-i-li-ephakamthini
na-maphrojekthi	na-maphorethriko
si-lemuk-e	si-lumek-e
i-mi-khakha	i-mi-khakha
e-tlhog-a	e-thol-a
u-ku-thuthuk-is-w-a	u-ku-thuthuk-is-w-a
e-i-si-zasebenza	esi-za-sebenz-a
nga-yo	nga-yo
kwa-i-si-khathi	kwa-i-si-khathi
u-ku-fak-a	u-ku-fak-a
hlangan-a	hlangan-a
a-ma-thuba	a-ma-thuba
a-nga-i-zelelelweko	a-nga-zi-elelekelo
